Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00226469989866018,8,16,1,2,1,q,8.32206120016053,9.205,8.575,hard,0.630000000000001,"[5000, '6,4""', 256, 4800, '6,8""', 128]",607,49,890,84,-52,-463,648,-305,378,-249,272,62,1920,1080
1,1,11.0091357999481,6,26,1,2,1,p,10.4172295997851,8.92,9.01,hard,0.0899999999999999,"[5000, '6,4""', 128, 4500, '6,5""', 256]",585,4,880,35,-6,-445,688,-335,328,-247,322,61,1920,1080
2,2,22.0090343998745,3,16,1,2,1,q,7.30442639999092,13.005,8.575,easy,4.43,"[5000, '6,7""', 128, 4800, '6,8""', 128]",563,-41,845,71,-3,-395,737,-344,321,-296,290,99,1920,1080
3,3,33.0091690998524,18,27,1,2,1,,NaN,7.525,4.135,easy,3.39,"[3340, '6,1""', 128, 4050, '6,3""', 64]",603,-11,850,121,-5,-345,687,-348,288,-333,287,149,1920,1080
4,4,44.0102638001554,4,16,1,2,1,p,5.96808799961582,5.65,8.575,medium,2.925,"[15000, '6,5""', 64, 4800, '6,8""', 128]",554,0,800,122,-41,-311,686,-298,280,-382,333,129,1920,1080
5,5,55.0093823997304,0,18,1,2,1,q,9.07098260009661,6.475,7.525,hard,1.05,"[8000, '6,1""', 64, 3340, '6,1""', 128]",539,48,836,156,-30,-360,734,-284,320,-351,284,120,1920,1080
6,6,66.0104334000498,0,12,1,2,1,p,7.27997240005061,6.475,8.53,medium,2.055,"[8000, '6,1""', 64, 5000, '6,6""', 128]",546,97,798,123,7,-327,695,-253,366,-370,256,161,1920,1080
7,7,77.0103639997542,7,13,1,2,1,q,5.26296199997887,5.38,7.31,medium,1.93,"[3100, '5,9""', 64, 3000, '6,1""', 64]",571,54,841,97,53,-346,707,-204,382,-417,284,120,1920,1080
8,9,88.0105912000872,4,21,1,2,1,q,10.3168007000349,5.65,8.32,medium,2.67,"[15000, '6,5""', 64, 4000, '6,4""', 128]",558,6,883,124,99,-327,755,-188,349,-380,234,124,1920,1080
9,10,99.0094884997234,4,26,1,2,1,p,6.47285520005971,5.65,9.01,easy,3.36,"[15000, '6,5""', 64, 4500, '6,5""', 256]",558,56,833,123,98,-277,720,-153,398,-370,280,104,1920,1080
10,11,110.008787800092,5,13,1,2,1,p,5.85255509987473,2.395,7.31,easy,4.915,"[3020, '6""', 32, 3000, '6,1""', 64]",511,39,875,151,137,-309,677,-179,412,-418,236,127,1920,1080
11,12,121.008912499994,2,29,1,2,1,q,4.16147409984842,8.455,3.955,easy,4.5,"[4380, '5,7""', 128, 3000, '6""', 32]",555,63,900,108,88,-298,691,-227,442,-378,282,109,1920,1080
12,13,132.009117200039,21,23,1,2,1,p,6.74838489992544,8.32,7.495,hard,0.825,"[4000, '6,4""', 128, 4020, '6,3""', 128]",510,84,855,87,106,-345,725,-264,466,-422,233,119,1920,1080
13,14,143.009006700013,0,16,1,2,1,q,6.56939780013636,6.475,8.575,medium,2.1,"[8000, '6,1""', 64, 4800, '6,8""', 128]",546,118,904,75,128,-300,717,-313,498,-460,269,85,1920,1080
14,15,154.008863700088,18,24,1,2,1,p,8.66862790007144,7.525,4.75,medium,2.775,"[3340, '6,1""', 128, 12500, '5,9""', 64]",534,69,866,108,110,-253,766,-301,538,-430,232,119,1920,1080
15,16,165.008921599947,2,29,1,2,1,q,4.01659179991111,8.455,3.955,easy,4.5,"[4380, '5,7""', 128, 3000, '6""', 32]",544,118,861,58,60,-247,815,-313,552,-382,251,165,1920,1080
16,17,176.010352499783,19,25,1,2,1,p,5.51921469997615,8.785,9.265,hard,0.48,"[5000, '6,7""', 128, 5080, '6,6""', 256]",512,157,811,58,107,-264,850,-348,516,-348,264,213,1920,1080
17,18,187.009213599842,2,29,1,2,1,q,5.06018890021369,8.455,3.955,easy,4.5,"[4380, '5,7""', 128, 3000, '6""', 32]",541,198,861,53,153,-282,892,-375,491,-305,226,181,1920,1080
18,19,198.009168199729,3,16,1,2,1,q,5.55619660019875,13.005,8.575,easy,4.43,"[5000, '6,7""', 128, 4800, '6,8""', 128]",585,174,884,9,146,-233,851,-346,517,-262,274,193,1920,1080
19,20,209.010538199917,5,13,1,2,1,p,6.57110070018098,2.395,7.31,easy,4.915,"[3020, '6""', 32, 3000, '6,1""', 64]",537,188,846,42,99,-250,878,-388,557,-293,265,242,1920,1080
20,21,220.010631000157,24,27,1,2,1,q,6.57784679997712,4.75,4.135,hard,0.615,"[12500, '5,9""', 64, 4050, '6,3""', 64]",501,153,872,-1,49,-246,843,-352,585,-335,245,288,1920,1080
21,22,231.010437499732,15,26,1,2,1,p,5.64107440039515,8.155,9.01,hard,0.854999999999999,"[5000, '6,7""', 128, 4500, '6,5""', 256]",545,177,833,31,99,-246,888,-330,581,-285,283,255,1920,1080
22,23,242.010327799711,0,23,1,2,1,q,7.97327330010012,6.475,7.495,hard,1.02,"[8000, '6,1""', 64, 4020, '6,3""', 128]",588,152,791,4,141,-219,874,-378,571,-334,322,287,1920,1080
23,24,253.009001799859,2,5,1,2,1,q,6.04540249984711,8.455,2.395,easy,6.06,"[4380, '5,7""', 128, 3020, '6""', 32]",609,197,808,-43,140,-269,824,-383,553,-287,341,333,1920,1080
24,25,264.008804599755,0,12,1,2,1,p,7.14165570028126,6.475,8.53,medium,2.055,"[8000, '6,1""', 64, 5000, '6,6""', 128]",609,147,786,-88,135,-219,782,-410,505,-272,388,350,1920,1080
25,26,275.008962700144,18,24,1,2,1,p,10.5586457997561,7.525,4.75,medium,2.775,"[3340, '6,1""', 128, 12500, '5,9""', 64]",644,183,832,-69,178,-193,737,-432,545,-243,392,300,1920,1080
26,27,286.008936199825,16,24,1,2,1,q,7.24556160019711,8.575,4.75,easy,3.825,"[4800, '6,8""', 128, 12500, '5,9""', 64]",687,209,788,-93,164,-241,740,-382,516,-203,394,350,1920,1080
27,28,297.008944899775,24,25,1,2,1,p,7.76354350009933,4.75,9.265,easy,4.515,"[12500, '5,9""', 64, 5080, '6,6""', 256]",638,221,794,-143,188,-197,776,-417,469,-185,400,300,1920,1080
28,29,308.008869499899,5,7,1,2,1,p,6.55050900019705,2.395,5.38,medium,2.985,"[3020, '6""', 32, 3100, '5,9""', 64]",677,189,775,-97,226,-165,800,-461,517,-172,388,251,1920,1080
29,31,319.008967699949,4,21,1,2,1,q,8.32055039983243,5.65,8.32,medium,2.67,"[15000, '6,5""', 64, 4000, '6,4""', 128]",657,235,825,-98,239,-117,850,-459,479,-205,393,201,1920,1080
