Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00200500001665205,10,21,1,2,1,p,7.65799990005326,6.46,7.54,medium,1.08,"[4500, '6,3""', 128, 4000, '6,4""', 128]",260,-357,618,-286,889,6,248,165,391,-116,527,278,1920,1080
1,1,11.0105549000436,2,27,1,2,1,q,5.27975740004331,6.205,5.44,hard,0.765000000000001,"[4380, '5,7""', 128, 4050, '6,3""', 64]",218,-385,580,-319,894,56,221,123,425,-79,498,319,1920,1080
2,2,22.0088487000903,8,17,1,2,1,q,10.5260156999575,8.875,6.4,easy,2.475,"[5000, '6,4""', 256, 5000, '6,7""', 128]",170,-399,626,-339,881,104,240,169,439,-31,448,325,1920,1080
3,3,33.0092049000086,19,26,1,2,1,p,5.67082390002906,7.21,8.305,medium,1.095,"[5000, '6,7""', 128, 4500, '6,5""', 256]",138,-361,672,-320,907,146,265,126,462,-75,493,347,1920,1080
4,4,44.0089027000358,4,11,1,2,1,p,8.74986109999008,5.155,7.555,easy,2.4,"[15000, '6,5""', 64, 4500, '6,4""', 128]",145,-312,670,-370,891,193,260,76,486,-31,504,396,1920,1080
5,5,55.0088745000539,14,25,1,2,1,p,7.19738559995312,8.965,8.545,hard,0.42,"[5000, '6,7""', 256, 5080, '6,6""', 256]",95,-309,650,-324,856,228,251,125,466,-77,521,349,1920,1080
6,6,66.0089194000466,7,13,1,2,1,p,5.49097050004639,5.185,4.405,hard,0.78,"[3100, '5,9""', 64, 3000, '6,1""', 64]",65,-269,600,-323,826,268,282,86,516,-75,549,308,1920,1080
7,8,77.0089041000465,0,14,1,2,1,p,4.94700000004377,6.43,8.965,easy,2.535,"[8000, '6,1""', 64, 5000, '6,7""', 256]",105,-299,649,-313,835,219,234,100,566,-77,551,258,1920,1080
8,9,88.0089051000541,15,28,1,2,1,p,4.81450380000751,7.12,9.145,easy,2.025,"[5000, '6,7""', 128, 6000, '6,4""', 256]",140,-263,698,-324,813,174,282,87,616,-73,560,307,1920,1080
9,10,99.0090426000534,14,28,1,2,1,p,3.08093950001057,8.965,9.145,hard,0.18,"[5000, '6,7""', 256, 6000, '6,4""', 256]",181,-292,734,-359,861,160,332,80,566,-78,576,260,1920,1080
10,11,110.008949000039,5,7,1,2,1,p,3.96603949996643,3.13,5.185,easy,2.055,"[3020, '6""', 32, 3100, '5,9""', 64]",168,-244,769,-323,818,186,288,104,533,-116,528,246,1920,1080
11,12,121.009108700091,8,26,1,2,1,p,4.22686469997279,8.875,8.305,hard,0.57,"[5000, '6,4""', 256, 4500, '6,5""', 256]",139,-285,740,-283,855,152,248,74,531,-66,557,205,1920,1080
12,13,132.009115200024,19,25,1,2,1,p,4.62308250006754,7.21,8.545,medium,1.335,"[5000, '6,7""', 128, 5080, '6,6""', 256]",188,-295,771,-322,854,102,242,124,545,-18,517,235,1920,1080
13,14,143.009048200096,9,16,1,2,1,q,3.49290159996599,7.195,6.955,hard,0.239999999999999,"[5000, '6,4""', 128, 4800, '6,8""', 128]",231,-269,770,-372,804,109,269,166,532,-66,557,265,1920,1080
14,17,154.010439600097,8,26,1,2,1,p,8.7302073999308,8.875,8.305,hard,0.57,"[5000, '6,4""', 256, 4500, '6,5""', 256]",261,-229,720,-372,842,76,233,131,519,-18,604,283,1920,1080
