Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00294039992149919,16,19,1,2,1,,NaN,7.105,5.635,medium,1.47,"[4800, '6,8""', 128, 5000, '6,7""', 128]",503,475,766,458,274,332,691,-232,444,6,-26,-469,1920,1080
1,1,11.009520099964,7,13,1,2,1,p,10.5768146000337,4.705,3.805,medium,0.9,"[3100, '5,9""', 64, 3000, '6,1""', 64]",543,445,815,447,243,293,641,-227,492,20,24,-476,1920,1080
2,2,22.0105601999676,18,24,1,2,1,,NaN,5.23,7.39,easy,2.16,"[3340, '6,1""', 128, 12500, '5,9""', 64]",495,431,865,452,194,285,642,-277,525,-17,74,-481,1920,1080
3,3,33.0094438999659,18,27,1,2,1,,NaN,5.23,4.975,hard,0.255,"[3340, '6,1""', 128, 4050, '6,3""', 64]",453,404,819,431,225,246,689,-294,560,19,93,-435,1920,1080
4,4,44.0104837999679,2,23,1,2,1,p,1.61807289998978,5.095,7.345,easy,2.25,"[4380, '5,7""', 128, 4020, '6,3""', 128]",492,373,845,388,208,199,727,-326,610,21,137,-411,1920,1080
5,5,55.0101844000164,0,28,1,2,1,p,0.904877799912356,6.805,9.82,easy,3.015,"[8000, '6,1""', 64, 6000, '6,4""', 256]",517,416,843,338,253,178,776,-333,643,58,153,-364,1920,1080
6,6,66.0104694999754,16,26,1,2,1,q,3.62711170001421,7.105,7.63,hard,0.524999999999999,"[4800, '6,8""', 128, 4500, '6,5""', 256]",468,408,825,291,250,128,810,-369,596,41,196,-390,1920,1080
7,7,77.0105848999228,17,26,1,2,1,q,7.87013480009046,6.325,7.63,medium,1.305,"[5000, '6,7""', 128, 4500, '6,5""', 256]",503,372,775,292,237,176,800,-418,641,19,242,-370,1920,1080
8,8,88.0103865999263,14,28,1,2,1,p,7.83312790002674,8.275,9.82,medium,1.545,"[5000, '6,7""', 256, 6000, '6,4""', 256]",536,409,814,324,190,194,820,-464,631,68,292,-366,1920,1080
9,9,99.0091168999206,4,25,1,2,1,p,10.1243532000808,9.19,9.22,hard,0.0300000000000011,"[15000, '6,5""', 64, 5080, '6,6""', 256]",524,457,771,350,228,162,870,-470,650,114,327,-402,1920,1080
10,10,110.008955099969,5,7,1,2,1,,NaN,4.3,4.705,hard,0.404999999999999,"[3020, '6""', 32, 3100, '5,9""', 64]",495,416,766,400,226,112,864,-420,600,115,372,-423,1920,1080
11,12,121.009019699995,14,24,1,2,1,p,5.59032850002404,8.275,7.39,medium,0.885000000000001,"[5000, '6,7""', 256, 12500, '5,9""', 64]",484,367,774,449,223,162,886,-375,550,109,408,-388,1920,1080
12,13,132.008766899933,7,13,1,2,1,q,6.97955240006559,4.705,3.805,medium,0.9,"[3100, '5,9""', 64, 3000, '6,1""', 64]",445,398,820,469,257,126,866,-329,593,83,406,-338,1920,1080
13,15,143.008809300023,4,28,1,2,1,p,6.70251579990145,9.19,9.82,hard,0.630000000000001,"[15000, '6,5""', 64, 6000, '6,4""', 256]",396,390,771,459,234,170,842,-373,564,124,357,-328,1920,1080
14,16,154.009147099918,0,9,1,2,1,q,7.37940350000281,6.805,6.7,hard,0.105,"[8000, '6,1""', 64, 5000, '6,4""', 128]",370,433,735,424,282,157,892,-367,590,81,334,-284,1920,1080
15,17,165.008898300002,5,13,1,2,1,p,6.7233164999634,4.3,3.805,hard,0.495000000000001,"[3020, '6""', 32, 3000, '6,1""', 64]",337,471,708,466,238,134,881,-318,548,108,297,-251,1920,1080
16,18,176.008865399985,24,27,1,2,1,q,6.44047969998792,7.39,4.975,easy,2.415,"[12500, '5,9""', 64, 4050, '6,3""', 64]",384,454,663,444,270,95,906,-275,598,112,325,-293,1920,1080
17,19,187.008888599928,2,29,1,2,1,q,6.69639589998405,5.095,4.585,hard,0.51,"[4380, '5,7""', 128, 3000, '6""', 32]",433,466,709,424,259,144,906,-225,645,129,298,-251,1920,1080
18,21,198.008957399987,0,12,1,2,1,p,10.4273527000332,6.805,7.255,hard,0.449999999999999,"[8000, '6,1""', 64, 5000, '6,6""', 128]",473,436,730,469,308,153,870,-190,603,157,250,-265,1920,1080
19,22,209.010404299945,0,28,1,2,1,p,7.77984620002098,6.805,9.82,easy,3.015,"[8000, '6,1""', 64, 6000, '6,4""', 256]",424,444,683,487,330,198,831,-222,652,168,296,-285,1920,1080
20,23,220.009183999966,4,12,1,2,1,p,7.59421849995852,9.19,7.255,easy,1.935,"[15000, '6,5""', 64, 5000, '6,6""', 128]",374,440,657,444,290,168,837,-172,602,167,249,-303,1920,1080
21,26,231.010378999985,21,27,1,2,1,q,9.9899375999812,7.09,4.975,easy,2.115,"[4000, '6,4""', 128, 4050, '6,3""', 64]",340,477,607,447,277,120,831,-122,645,193,247,-253,1920,1080
22,27,242.01029539993,2,27,1,2,1,q,9.84242510003969,5.095,4.975,hard,0.119999999999999,"[4380, '5,7""', 128, 4050, '6,3""', 64]",303,443,564,473,228,130,814,-75,694,186,257,-302,1920,1080
23,30,253.010534600006,4,18,1,2,1,q,6.06164470000658,9.19,5.23,easy,3.96,"[15000, '6,5""', 64, 3340, '6,1""', 128]",302,393,613,485,278,129,771,-101,655,155,257,-252,1920,1080
24,31,264.010412600008,0,18,1,2,1,,NaN,6.805,5.23,medium,1.575,"[8000, '6,1""', 64, 3340, '6,1""', 128]",253,401,563,484,234,106,727,-77,683,197,283,-209,1920,1080
25,32,275.010405199951,19,26,1,2,1,p,5.69870339997578,5.635,7.63,easy,1.995,"[5000, '6,7""', 128, 4500, '6,5""', 256]",301,416,608,462,262,148,699,-118,661,152,326,-183,1920,1080
26,33,286.010379199986,25,28,1,2,1,p,10.8228590999497,9.22,9.82,hard,0.6,"[5080, '6,6""', 256, 6000, '6,4""', 256]",325,460,657,452,223,117,651,-132,707,133,346,-137,1920,1080
27,34,297.010487799998,6,26,1,2,1,,NaN,6.1,7.63,medium,1.53,"[5000, '6,4""', 128, 4500, '6,5""', 256]",276,470,611,433,195,158,700,-122,702,183,297,-125,1920,1080
28,35,308.010594299994,0,18,1,2,1,q,8.78371749992948,6.805,5.23,medium,1.575,"[8000, '6,1""', 64, 3340, '6,1""', 128]",319,445,645,470,239,134,658,-149,670,221,330,-163,1920,1080
