Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00300280000374187,16,26,1,2,1,p,4.10550989999319,8.935,9.52,medium,0.584999999999999,"[4800, '6,8""', 128, 4500, '6,5""', 256]",-526,-86,-835,412,-715,-381,-455,-428,-58,-271,-841,-154,1920,1080
1,2,11.0091866000003,26,28,1,2,1,p,4.89101340000343,9.52,9.865,hard,0.345000000000001,"[4500, '6,5""', 256, 6000, '6,4""', 256]",-554,-127,-848,364,-754,-412,-487,-389,-108,-269,-866,-111,1920,1080
2,3,22.0092807000037,11,24,1,2,1,p,6.96678869999596,8.47,7.615,medium,0.855,"[4500, '6,4""', 128, 12500, '5,9""', 64]",-600,-147,-824,408,-794,-442,-439,-403,-114,-319,-883,-64,1920,1080
3,4,33.0093115999916,14,16,1,2,1,q,6.9337455000059,9.7,8.935,medium,0.764999999999999,"[5000, '6,7""', 256, 4800, '6,8""', 128]",-614,-195,-814,359,-745,-452,-406,-441,-161,-335,-879,-114,1920,1080
4,5,44.0090506999986,8,19,1,2,1,q,3.70604279999679,9.43,9.16,hard,0.27,"[5000, '6,4""', 256, 5000, '6,7""', 128]",-564,-199,-861,343,-795,-458,-456,-438,-122,-304,-830,-124,1920,1080
5,6,55.0089604999957,2,18,1,2,1,p,4.61101809999673,8.05,6.4,easy,1.65,"[4380, '5,7""', 128, 3340, '6,1""', 128]",-545,-245,-889,384,-844,-448,-470,-486,-166,-327,-783,-141,1920,1080
6,8,66.0104098000011,0,8,1,2,1,p,3.58858609999879,7.42,9.43,easy,2.01,"[8000, '6,1""', 64, 5000, '6,4""', 256]",-581,-211,-893,334,-794,-452,-457,-438,-192,-284,-833,-146,1920,1080
7,10,77.0090501999948,1,29,1,2,1,p,5.08893410000019,2.035,3.505,easy,1.47,"[3000, '4""', 64, 3000, '6""', 32]",-532,-220,-844,323,-844,-450,-459,-488,-149,-259,-867,-110,1920,1080
8,11,88.0091045000008,17,25,1,2,1,p,5.24893109999539,8.635,9.625,medium,0.99,"[5000, '6,7""', 128, 5080, '6,6""', 256]",-582,-221,-840,273,-864,-404,-453,-438,-138,-210,-904,-144,1920,1080
9,12,99.0091878999956,14,25,1,2,1,q,6.05587250000099,9.7,9.625,hard,0.0749999999999993,"[5000, '6,7""', 256, 5080, '6,6""', 256]",-629,-237,-888,260,-909,-382,-416,-404,-179,-239,-878,-101,1920,1080
10,13,110.009076699993,2,13,1,2,1,q,5.63376830000198,8.05,4.135,easy,3.915,"[4380, '5,7""', 128, 3000, '6,1""', 64]",-590,-268,-872,212,-882,-424,-422,-454,-131,-224,-860,-54,1920,1080
11,14,121.010436299999,4,19,1,2,1,p,5.95657629999914,8.02,9.16,medium,1.14,"[15000, '6,5""', 64, 5000, '6,7""', 128]",-633,-294,-869,162,-838,-448,-372,-461,-143,-273,-867,-104,1920,1080
12,15,132.010527199993,4,18,1,2,1,q,8.71824760000163,8.02,6.4,easy,1.62,"[15000, '6,5""', 64, 3340, '6,1""', 128]",-586,-277,-904,126,-880,-421,-322,-458,-184,-244,-882,-152,1920,1080
13,16,143.010202299993,0,24,1,2,1,p,3.96481700000004,7.42,7.615,hard,0.195,"[8000, '6,1""', 64, 12500, '5,9""', 64]",-599,-325,-865,157,-891,-470,-272,-455,-204,-198,-836,-171,1920,1080
14,17,154.009456899992,12,26,1,2,1,p,3.97343870000623,8.77,9.52,medium,0.75,"[5000, '6,6""', 128, 4500, '6,5""', 256]",-642,-300,-877,109,-851,-439,-315,-481,-157,-216,-886,-167,1920,1080
15,18,165.010654799989,0,23,1,2,1,p,7.96022340000491,7.42,7.885,hard,0.465,"[8000, '6,1""', 64, 4020, '6,3""', 128]",-597,-278,-831,90,-889,-471,-273,-454,-203,-196,-879,-216,1920,1080
16,19,176.010445599997,20,24,1,2,1,q,6.70441999999457,8.005,7.615,hard,0.390000000000001,"[4500, '6,4""', 128, 12500, '5,9""', 64]",-565,-240,-875,113,-839,-471,-224,-444,-224,-151,-829,-211,1920,1080
