Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00180050000199117,0,16,1,2,1,q,6.33772170000884,6.1,2.515,easy,3.585,"[8000, '6,1""', 64, 4800, '6,8""', 128]",547,-241,860,28,349,-79,555,416,311,267,528,137,1920,1080
1,1,11.0090320000017,12,16,1,2,1,q,5.08690300000308,3.355,2.515,hard,0.84,"[5000, '6,6""', 128, 4800, '6,8""', 128]",595,-227,899,59,349,-129,603,430,294,220,576,125,1920,1080
2,2,22.0105104000104,12,26,1,2,1,p,7.62396959999751,3.355,4,hard,0.645,"[5000, '6,6""', 128, 4500, '6,5""', 256]",609,-275,890,10,319,-169,556,413,325,180,615,93,1920,1080
3,3,33.0103736000019,2,7,1,2,1,q,5.97906340000918,5.395,3.58,medium,1.815,"[4380, '5,7""', 128, 3100, '5,9""', 64]",559,-269,886,-40,273,-188,605,404,350,223,624,44,1920,1080
4,4,44.010555300003,0,10,1,2,1,q,5.90513470000587,6.1,3.1,medium,3,"[8000, '6,1""', 64, 4500, '6,3""', 128]",545,-221,837,-30,223,-188,559,385,300,230,574,48,1920,1080
5,5,55.0094038000097,2,13,1,2,1,q,4.93619219999528,5.395,2.56,medium,2.835,"[4380, '5,7""', 128, 3000, '6,1""', 64]",495,-226,803,-67,212,-139,515,362,253,213,527,66,1920,1080
6,6,66.0103475000069,8,15,1,2,1,q,4.94925780000631,3.64,3.37,hard,0.27,"[5000, '6,4""', 256, 5000, '6,7""', 128]",446,-234,852,-59,182,-179,542,404,218,177,569,93,1920,1080
7,7,77.0104576000012,4,9,1,2,1,q,3.47726720001083,7.9,5.215,medium,2.685,"[15000, '6,5""', 64, 5000, '6,4""', 128]",472,-191,898,-39,216,-216,591,395,214,227,619,91,1920,1080
8,8,88.0091589000076,14,25,1,2,1,p,7.10248349999893,4.315,4.315,hard,8.88178419700125e-16,"[5000, '6,7""', 256, 5080, '6,6""', 256]",522,-186,876,-84,254,-249,549,369,262,213,570,101,1920,1080
9,9,99.0090140000102,1,5,1,2,1,q,4.51361700000416,3.49,2.305,hard,1.185,"[3000, '4""', 64, 3020, '6""', 32]",500,-141,826,-87,217,-283,508,398,261,163,521,109,1920,1080
10,10,110.009080700009,9,26,1,2,1,p,8.24559859999863,5.215,4,medium,1.215,"[5000, '6,4""', 128, 4500, '6,5""', 256]",548,-155,833,-37,264,-267,525,351,214,179,471,103,1920,1080
11,12,121.009067300009,11,24,1,2,1,p,5.77465999999549,3.43,8.92,easy,5.49,"[4500, '6,4""', 128, 12500, '5,9""', 64]",530,-108,821,-86,309,-245,555,391,223,228,492,148,1920,1080
12,14,132.00946690001,0,24,1,2,1,p,5.76706149999518,6.1,8.92,medium,2.82,"[8000, '6,1""', 64, 12500, '5,9""', 64]",531,-158,871,-91,259,-247,547,440,268,206,516,104,1920,1080
13,15,143.009048800013,4,26,1,2,1,q,4.43770819999918,7.9,4,easy,3.9,"[15000, '6,5""', 64, 4500, '6,5""', 256]",576,-136,847,-135,308,-259,573,482,226,179,514,154,1920,1080
14,16,154.009027800013,5,7,1,2,1,p,6.36270939999667,2.305,3.58,medium,1.275,"[3020, '6""', 32, 3100, '5,9""', 64]",531,-115,802,-113,311,-309,623,487,228,229,551,187,1920,1080
15,17,165.009452700004,14,16,1,2,1,q,5.61131629999727,4.315,2.515,medium,1.8,"[5000, '6,7""', 256, 4800, '6,8""', 128]",581,-119,835,-151,334,-265,573,486,233,279,546,237,1920,1080
16,18,176.009048900014,4,18,1,2,1,q,6.06256969999231,7.9,3.115,easy,4.785,"[15000, '6,5""', 64, 3340, '6,1""', 128]",565,-72,841,-101,366,-227,563,437,200,316,552,187,1920,1080
17,19,187.010566500001,5,7,1,2,1,p,4.41733380001097,2.305,3.58,medium,1.275,"[3020, '6""', 32, 3100, '5,9""', 64]",605,-102,888,-119,363,-277,613,437,226,359,602,181,1920,1080
18,20,198.010528100014,9,16,1,2,1,q,7.51418489999196,5.215,2.515,medium,2.7,"[5000, '6,4""', 128, 4800, '6,8""', 128]",650,-80,907,-165,335,-235,639,480,247,314,631,221,1920,1080
19,21,209.010337700005,4,26,1,2,1,q,3.8455929000047,7.9,4,easy,3.9,"[15000, '6,5""', 64, 4500, '6,5""', 256]",630,-126,909,-115,304,-274,590,489,252,264,676,198,1920,1080
20,22,220.010588300007,0,14,1,2,1,p,10.6132747999945,6.1,4.315,medium,1.785,"[8000, '6,1""', 64, 5000, '6,7""', 256]",587,-100,859,-121,345,-246,544,470,285,302,725,208,1920,1080
21,23,231.010560600014,4,21,1,2,1,q,5.00535489998583,7.9,3.625,easy,4.275,"[15000, '6,5""', 64, 4000, '6,4""', 128]",538,-109,879,-75,296,-256,592,457,252,264,677,196,1920,1080
22,24,242.010374100006,14,25,1,2,1,p,7.15048660000321,4.315,4.315,hard,8.88178419700125e-16,"[5000, '6,7""', 256, 5080, '6,6""', 256]",558,-155,838,-103,292,-306,543,446,207,243,693,149,1920,1080
23,26,253.010516000009,12,16,1,2,1,q,5.0175581999938,3.355,2.515,hard,0.84,"[5000, '6,6""', 128, 4800, '6,8""', 128]",555,-205,883,-125,251,-335,503,477,238,204,715,194,1920,1080
24,27,264.008914700011,7,29,1,2,1,,NaN,3.58,3.64,hard,0.0600000000000001,"[3100, '5,9""', 64, 3000, '6""', 32]",540,-253,870,-173,202,-346,550,459,266,246,734,148,1920,1080
25,29,275.008870400008,7,29,1,2,1,q,7.42993440000282,3.58,3.64,hard,0.0600000000000001,"[3100, '5,9""', 64, 3000, '6""', 32]",499,-282,869,-123,154,-358,508,432,288,201,778,124,1920,1080
26,31,286.009417800014,19,26,1,2,1,p,6.7485910999967,3.55,4,hard,0.449999999999999,"[5000, '6,7""', 128, 4500, '6,5""', 256]",515,-329,827,-96,204,-359,550,405,238,206,810,163,1920,1080
27,32,297.009046900013,0,9,1,2,1,q,7.1540127999906,6.1,5.215,hard,0.885,"[8000, '6,1""', 64, 5000, '6,4""', 128]",557,-302,794,-133,154,-362,596,385,188,208,840,123,1920,1080
28,33,308.00897200001,4,14,1,2,1,q,3.98791470000288,7.9,4.315,easy,3.585,"[15000, '6,5""', 64, 5000, '6,7""', 256]",607,-297,844,-126,183,-402,551,363,238,208,866,166,1920,1080
29,34,319.008872900013,8,24,1,2,1,q,7.87811859999783,3.64,8.92,easy,5.28,"[5000, '6,4""', 256, 12500, '5,9""', 64]",618,-346,889,-148,225,-430,561,314,252,160,855,215,1920,1080
30,35,330.008981200008,4,6,1,2,1,q,4.39413849999255,7.9,4.555,medium,3.345,"[15000, '6,5""', 64, 5000, '6,4""', 128]",664,-326,848,-119,269,-406,536,271,204,173,851,165,1920,1080
31,36,341.00897570001,2,24,1,2,1,p,5.20388559999992,5.395,8.92,easy,3.525,"[4380, '5,7""', 128, 12500, '5,9""', 64]",614,-320,854,-69,222,-388,494,244,248,149,870,211,1920,1080
32,37,352.009263700005,0,16,1,2,1,q,8.41173200000776,6.1,2.515,easy,3.585,"[8000, '6,1""', 64, 4800, '6,8""', 128]",656,-292,904,-73,173,-398,514,198,230,102,900,251,1920,1080
33,38,363.010454800009,0,24,1,2,1,p,6.14645709999604,6.1,8.92,medium,2.82,"[8000, '6,1""', 64, 12500, '5,9""', 64]",630,-249,862,-100,153,-444,564,200,226,152,850,246,1920,1080
34,39,374.009138500012,18,24,1,2,1,p,5.04986729999655,3.115,8.92,easy,5.805,"[3340, '6,1""', 128, 12500, '5,9""', 64]",626,-299,869,-150,105,-457,551,152,275,144,827,202,1920,1080
35,40,385.009481500005,0,16,1,2,1,q,7.36651419999544,6.1,2.515,easy,3.585,"[8000, '6,1""', 64, 4800, '6,8""', 128]",637,-348,820,-139,139,-421,600,162,293,98,859,241,1920,1080
36,41,396.010335800005,3,26,1,2,1,p,8.08159470000828,3.805,4,hard,0.195,"[5000, '6,7""', 128, 4500, '6,5""', 256]",590,-366,771,-146,189,-427,556,138,248,76,903,218,1920,1080
