Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00194399998872541,15,16,1,2,1,p,6.76144589998876,4.015,4.705,medium,0.69,"[5000, '6,7""', 128, 4800, '6,8""', 128]",570,108,892,6,181,207,687,393,330,-257,758,-225,1920,1080
1,2,11.0091201000032,15,24,1,2,1,p,5.5764323999756,4.015,5.455,easy,1.44,"[5000, '6,7""', 128, 12500, '5,9""', 64]",593,64,901,55,228,224,727,363,282,-270,769,-274,1920,1080
2,3,22.0104391999776,4,19,1,2,1,q,5.35311530000763,6.01,4.375,easy,1.635,"[15000, '6,5""', 64, 5000, '6,7""', 128]",550,38,901,105,278,228,680,346,298,-223,722,-290,1920,1080
3,4,33.0103940999834,8,15,1,2,1,q,6.28129620000254,4,4.015,hard,0.0150000000000006,"[5000, '6,4""', 256, 5000, '6,7""', 128]",600,35,909,154,232,209,699,300,298,-273,700,-335,1920,1080
4,5,44.0104538000014,19,25,1,2,1,p,6.21608620000188,4.375,4.75,hard,0.375,"[5000, '6,7""', 128, 5080, '6,6""', 256]",646,16,906,204,272,179,691,349,274,-229,653,-353,1920,1080
5,6,55.0102772999962,2,18,1,2,1,q,5.91835019999416,3.49,2.59,medium,0.9,"[4380, '5,7""', 128, 3340, '6,1""', 128]",608,-16,904,154,274,129,644,366,315,-258,630,-309,1920,1080
6,7,66.0104967999796,0,18,1,2,1,q,5.59334410002339,4.645,2.59,easy,2.055,"[8000, '6,1""', 64, 3340, '6,1""', 128]",584,28,907,104,323,121,597,348,357,-232,676,-328,1920,1080
7,8,77.0095718999801,4,23,1,2,1,q,5.6669548000209,6.01,4.51,easy,1.5,"[15000, '6,5""', 64, 4020, '6,3""', 128]",626,0,857,106,307,168,634,382,371,-184,626,-322,1920,1080
8,9,88.0102764999901,2,29,1,2,1,q,4.01029259999632,3.49,1.51,easy,1.98,"[4380, '5,7""', 128, 3000, '6""', 32]",596,-40,898,134,325,215,673,414,322,-176,663,-289,1920,1080
9,10,99.0103711999836,2,27,1,2,1,q,5.26023929999792,3.49,3.445,hard,0.0449999999999995,"[4380, '5,7""', 128, 4050, '6,3""', 64]",646,-34,888,85,279,195,710,447,363,-204,677,-337,1920,1080
10,11,110.010418799997,5,7,1,2,1,p,5.25415530000464,1.03,1.135,hard,0.104999999999999,"[3020, '6""', 32, 3100, '5,9""', 64]",653,-84,860,126,326,178,751,418,341,-159,721,-361,1920,1080
11,12,121.009715299995,15,25,1,2,1,p,5.40884550000192,4.015,4.75,medium,0.734999999999999,"[5000, '6,7""', 128, 5080, '6,6""', 256]",603,-79,908,141,322,228,775,374,355,-207,693,-402,1920,1080
12,13,132.009114799992,22,24,1,2,1,p,5.37142859998858,4.765,5.455,medium,0.69,"[4500, '6,4""', 128, 12500, '5,9""', 64]",593,-30,876,180,322,178,752,418,353,-157,727,-439,1920,1080
13,14,143.008989499998,9,24,1,2,1,p,4.2214880999818,3.835,5.455,easy,1.62,"[5000, '6,4""', 128, 12500, '5,9""', 64]",616,14,905,221,372,175,786,455,319,-121,753,-482,1920,1080
14,15,154.009089799976,3,25,1,2,1,p,4.77549010000075,3.475,4.75,easy,1.275,"[5000, '6,7""', 128, 5080, '6,6""', 256]",586,54,899,171,353,221,749,489,369,-121,704,-473,1920,1080
15,16,165.008999699989,7,13,1,2,1,q,6.92276399998809,1.135,1.03,hard,0.104999999999999,"[3100, '5,9""', 64, 3000, '6,1""', 64]",572,6,874,214,303,217,799,485,330,-90,656,-459,1920,1080
16,17,176.008908999996,26,28,1,2,1,p,4.1593202999793,4.12,5.695,easy,1.575,"[4500, '6,5""', 256, 6000, '6,4""', 256]",613,34,894,168,347,241,781,438,282,-104,613,-433,1920,1080
17,18,187.009026899992,6,26,1,2,1,p,5.41584639999201,4.735,4.12,medium,0.615000000000001,"[5000, '6,4""', 128, 4500, '6,5""', 256]",616,84,898,118,297,241,781,488,307,-61,587,-390,1920,1080
18,19,198.008879300003,3,16,1,2,1,q,4.34557739997399,3.475,4.705,easy,1.23,"[5000, '6,7""', 128, 4800, '6,8""', 128]",573,59,850,106,339,268,737,464,282,-18,625,-423,1920,1080
19,20,209.008913800004,2,18,1,2,1,q,5.75985139998375,3.49,2.59,medium,0.9,"[4380, '5,7""', 128, 3340, '6,1""', 128]",608,95,887,73,341,318,688,457,251,-57,673,-410,1920,1080
20,22,220.008871400001,6,26,1,2,1,q,6.76366169998073,4.735,4.12,medium,0.615000000000001,"[5000, '6,4""', 128, 4500, '6,5""', 256]",621,47,892,23,385,341,722,420,294,-32,705,-448,1920,1080
