Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,2,0.0105004999932135,9,26,1,2,1,p,9.04011279999395,8.44,7.87,medium,0.570000000000002,"[5000, '6,4""', 128, 4500, '6,5""', 256]",-823,-31,-573,-301,-743,358,-258,-355,-207,342,-508,82,1920,1080
1,3,11.0076532999956,10,21,1,2,1,q,10.6848828999937,7.69,7.96,hard,0.270000000000001,"[4500, '6,3""', 128, 4000, '6,4""', 128]",-848,12,-623,-298,-791,372,-211,-371,-177,382,-517,131,1920,1080
2,4,22.007229099996,18,27,1,2,1,q,7.16225480000139,6.205,5.05,medium,1.155,"[3340, '6,1""', 128, 4050, '6,3""', 64]",-810,44,-655,-336,-840,384,-230,-325,-129,369,-537,177,1920,1080
3,5,33.0066570999916,4,11,1,2,1,p,10.142935099997,7.42,7.255,hard,0.164999999999999,"[15000, '6,5""', 64, 4500, '6,4""', 128]",-854,67,-646,-385,-877,350,-181,-316,-174,391,-572,142,1920,1080
4,6,44.0076228999969,4,6,1,2,1,p,4.63497719999577,7.42,8.725,medium,1.305,"[15000, '6,5""', 64, 5000, '6,4""', 128]",-904,63,-642,-435,-879,400,-149,-278,-219,369,-620,157,1920,1080
5,8,55.0074542999937,18,24,1,2,1,p,9.56720730000234,6.205,6.055,hard,0.15,"[3340, '6,1""', 128, 12500, '5,9""', 64]",-854,63,-592,-437,-880,450,-188,-247,-206,321,-600,203,1920,1080
6,9,66.007360699994,24,29,1,2,1,q,6.27363579999655,6.055,1.48,easy,4.575,"[12500, '5,9""', 64, 3000, '6""', 32]",-883,22,-549,-463,-837,425,-141,-230,-157,312,-586,155,1920,1080
7,10,77.0058385999873,3,25,1,2,1,p,5.82005600001139,8.08,8.89,medium,0.81,"[5000, '6,7""', 128, 5080, '6,6""', 256]",-896,70,-592,-489,-793,402,-182,-201,-186,271,-634,141,1920,1080
8,11,88.0060449999874,2,13,1,2,1,q,9.43259029999899,6.925,2.53,easy,4.395,"[4380, '5,7""', 128, 3000, '6,1""', 64]",-891,120,-543,-481,-791,452,-143,-232,-190,221,-631,91,1920,1080
9,12,99.0074138999917,16,28,1,2,1,p,5.30029329999525,7.93,9.355,easy,1.425,"[4800, '6,8""', 128, 6000, '6,4""', 256]",-872,74,-525,-434,-830,421,-169,-189,-184,171,-589,118,1920,1080
10,13,110.007691999999,2,4,1,2,1,p,10.6460146999889,6.925,7.42,hard,0.495,"[4380, '5,7""', 128, 15000, '6,5""', 64]",-827,95,-500,-391,-872,447,-213,-165,-156,212,-543,138,1920,1080
11,15,121.007448199991,15,25,1,2,1,p,7.79117310000584,8.455,8.89,hard,0.434999999999999,"[5000, '6,7""', 128, 5080, '6,6""', 256]",-814,143,-549,-380,-838,411,-242,-206,-205,221,-494,145,1920,1080
12,16,132.007424999989,14,24,1,2,1,q,7.6764106000046,9.16,6.055,easy,3.105,"[5000, '6,7""', 256, 12500, '5,9""', 64]",-809,93,-558,-331,-880,385,-234,-255,-184,266,-445,153,1920,1080
13,17,143.007561499995,4,25,1,2,1,p,6.24641890000203,7.42,8.89,easy,1.47,"[15000, '6,5""', 64, 5080, '6,6""', 256]",-774,57,-582,-287,-902,430,-208,-212,-225,294,-406,121,1920,1080
14,18,154.007448299992,17,26,1,2,1,p,6.71637429999828,8.605,7.87,medium,0.735000000000001,"[5000, '6,7""', 128, 4500, '6,5""', 256]",-744,97,-553,-328,-852,427,-252,-237,-196,334,-433,79,1920,1080
15,19,165.007400899995,0,6,1,2,1,p,7.61936810000043,6.94,8.725,easy,1.785,"[8000, '6,1""', 64, 5000, '6,4""', 128]",-698,78,-503,-328,-897,448,-272,-191,-223,376,-437,129,1920,1080
16,21,176.007378499999,2,21,1,2,1,p,10.2374241999933,6.925,7.96,medium,1.035,"[4380, '5,7""', 128, 4000, '6,4""', 128]",-727,37,-553,-328,-847,451,-304,-153,-248,419,-461,173,1920,1080
17,22,187.008008199991,14,28,1,2,1,p,4.69401160000416,9.16,9.355,hard,0.195,"[5000, '6,7""', 256, 6000, '6,4""', 256]",-774,55,-597,-352,-801,432,-262,-180,-281,381,-511,176,1920,1080
18,23,198.007228399991,21,23,1,2,1,,NaN,7.96,7.12,medium,0.840000000000001,"[4000, '6,4""', 128, 4020, '6,3""', 128]",-727,39,-620,-308,-768,394,-215,-164,-327,402,-509,226,1920,1080
19,24,209.00753409999,2,13,1,2,1,q,9.14099780000106,6.925,2.53,easy,4.395,"[4380, '5,7""', 128, 3000, '6,1""', 64]",-774,21,-642,-353,-752,346,-263,-148,-279,389,-466,200,1920,1080
20,26,220.007389699997,9,24,1,2,1,q,8.72842020000098,8.44,6.055,easy,2.385,"[5000, '6,4""', 128, 12500, '5,9""', 64]",-726,35,-599,-378,-802,347,-284,-102,-269,438,-425,171,1920,1080
21,27,231.0059071,4,14,1,2,1,p,5.29989169999317,7.42,9.16,easy,1.74,"[15000, '6,5""', 64, 5000, '6,7""', 256]",-736,-14,-549,-372,-759,321,-333,-92,-249,392,-474,160,1920,1080
22,28,242.006051399992,26,28,1,2,1,p,7.50674520000757,7.87,9.355,easy,1.485,"[4500, '6,5""', 256, 6000, '6,4""', 256]",-692,9,-499,-373,-723,286,-379,-111,-298,382,-426,145,1920,1080
23,29,253.007424699987,19,28,1,2,1,p,4.10141330001352,8.38,9.355,medium,0.975000000000001,"[5000, '6,7""', 128, 6000, '6,4""', 256]",-688,-41,-490,-324,-678,308,-362,-64,-326,424,-439,193,1920,1080
24,30,264.007546499997,23,24,1,2,1,p,7.79441089999455,7.12,6.055,medium,1.065,"[4020, '6,3""', 128, 12500, '5,9""', 64]",-649,-72,-503,-276,-723,331,-324,-31,-337,473,-392,210,1920,1080
25,31,275.007325899991,3,25,1,2,1,p,5.80048659999738,8.08,8.89,medium,0.81,"[5000, '6,7""', 128, 5080, '6,6""', 256]",-698,-60,-468,-311,-772,322,-335,-80,-297,442,-406,162,1920,1080
26,32,286.00754369999,3,25,1,2,1,p,5.18822240000009,8.08,8.89,medium,0.81,"[5000, '6,7""', 128, 5080, '6,6""', 256]",-696,-10,-462,-361,-741,283,-306,-39,-314,489,-428,207,1920,1080
27,33,297.007633299989,23,27,1,2,1,q,8.86631480000506,7.12,5.05,easy,2.07,"[4020, '6,3""', 128, 4050, '6,3""', 64]",-706,-59,-469,-411,-790,295,-269,-73,-277,455,-470,180,1920,1080
28,35,308.007486499992,14,28,1,2,1,q,9.67046910000499,9.16,9.355,hard,0.195,"[5000, '6,7""', 256, 6000, '6,4""', 256]",-692,-107,-497,-370,-803,247,-285,-120,-228,466,-483,228,1920,1080
