Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00324999999429565,9,26,1,2,1,p,7.44775310000114,4.975,5.935,medium,0.96,"[5000, '6,4""', 128, 4500, '6,5""', 256]",703,335,680,-444,227,236,773,-127,395,-450,401,55,1920,1080
1,1,11.0092009000073,15,25,1,2,1,p,3.97461029999249,3.565,4.21,medium,0.645,"[5000, '6,7""', 128, 5080, '6,6""', 256]",703,285,724,-468,276,244,723,-121,363,-489,377,11,1920,1080
2,2,22.008963500004,1,29,1,2,1,q,4.65997169999173,2.515,1.06,medium,1.455,"[3000, '4""', 64, 3000, '6""', 32]",753,283,677,-451,237,275,708,-73,393,-449,328,2,1920,1080
3,3,33.0089097000018,19,26,1,2,1,p,6.70483980000427,4.6,5.935,medium,1.335,"[5000, '6,7""', 128, 4500, '6,5""', 256]",736,236,714,-417,272,239,695,-121,381,-401,308,-44,1920,1080
4,4,44.009149400008,0,8,1,2,1,p,5.50469809999049,4.6,5.17,hard,0.57,"[8000, '6,1""', 64, 5000, '6,4""', 256]",725,285,758,-394,314,211,699,-71,427,-382,261,-62,1920,1080
5,5,55.0089798999979,21,27,1,2,1,q,5.62089540000306,3.415,2.215,medium,1.2,"[4000, '6,4""', 128, 4050, '6,3""', 64]",772,268,756,-344,330,164,702,-21,403,-426,283,-107,1920,1080
6,6,66.009272299998,0,18,1,2,1,p,6.59055520000402,4.6,2.65,easy,1.95,"[8000, '6,1""', 64, 3340, '6,1""', 128]",814,296,717,-312,284,145,730,-62,420,-473,332,-115,1920,1080
7,8,77.0105044999946,4,22,1,2,1,p,5.3102796000021,4.87,4.045,medium,0.825,"[15000, '6,5""', 64, 4500, '6,4""', 128]",819,346,758,-283,326,172,684,-43,370,-475,377,-136,1920,1080
8,9,88.0091501999996,21,23,1,2,1,p,6.37663860000612,3.415,3.76,hard,0.345,"[4000, '6,4""', 128, 4020, '6,3""', 128]",778,317,800,-311,372,152,634,-44,420,-478,340,-102,1920,1080
9,10,99.0091047000024,1,5,1,2,1,q,3.99977379999473,2.515,2.275,hard,0.24,"[3000, '4""', 64, 3020, '6""', 32]",728,314,842,-284,322,157,629,-94,466,-458,379,-134,1920,1080
10,11,110.010588999998,8,15,1,2,1,q,4.99614250000741,5.17,3.565,easy,1.605,"[5000, '6,4""', 256, 5000, '6,7""', 128]",757,273,836,-334,357,121,672,-68,423,-484,379,-184,1920,1080
11,13,121.010600199996,13,24,1,2,1,p,6.59317590000865,1.135,4.81,easy,3.675,"[3000, '6,1""', 64, 12500, '5,9""', 64]",739,320,789,-317,307,120,624,-54,376,-467,371,-135,1920,1080
12,14,132.010568099999,0,28,1,2,1,p,5.1906478000019,4.6,6.13,medium,1.53,"[8000, '6,1""', 64, 6000, '6,4""', 256]",702,287,739,-311,271,86,576,-69,414,-435,338,-173,1920,1080
13,15,143.009453599996,8,17,1,2,1,q,4.36024069999985,5.17,4.54,medium,0.63,"[5000, '6,4""', 256, 5000, '6,7""', 128]",729,329,756,-358,317,67,621,-48,425,-484,377,-204,1920,1080
14,16,154.009403100004,15,16,1,2,1,q,5.45059110000147,3.565,2.59,medium,0.975,"[5000, '6,7""', 128, 4800, '6,8""', 128]",779,332,781,-401,340,111,653,-86,403,-439,348,-163,1920,1080
15,17,165.010475400006,12,28,1,2,1,p,4.77034019998973,4.18,6.13,easy,1.95,"[5000, '6,6""', 128, 6000, '6,4""', 256]",736,358,829,-416,387,127,699,-107,452,-447,307,-135,1920,1080
16,18,176.010560199997,16,25,1,2,1,p,6.48413470000378,2.59,4.21,easy,1.62,"[4800, '6,8""', 128, 5080, '6,6""', 256]",786,355,841,-464,437,133,731,-69,486,-410,258,-143,1920,1080
