Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00305610000214074,11,28,1,2,1,p,6.4376620999974,1.93,2.2,hard,0.27,"[3, '4,2 km', '19 m2', 2, '3,8 km', '18 m2']",878,-429,195,-174,404,-408,248,294,571,22,852,-179,1920,1080
1,1,11.0107631999999,16,26,1,2,1,q,4.15104160000919,8.26,5.995,medium,2.265,"[3, '0,02 km', '20 m2', 5, '1,7 km', '30 m2']",909,-468,156,-206,404,-358,230,247,613,50,839,-227,1920,1080
2,2,22.0103942999995,13,17,1,2,1,q,6.09640100000252,8.32,7.75,hard,0.57,"[4, '0,6 km', '20 m2', 3, '0,1 km', '20 m2']",860,-457,128,-247,426,-313,213,200,569,26,817,-182,1920,1080
3,3,33.009157700013,9,15,1,2,1,p,5.36851129999559,5.605,7.42,medium,1.815,"[3, '1,3 km', '19 m2', 3, '0,45 km', '18 m2']",899,-488,166,-214,447,-267,163,193,519,25,867,-178,1920,1080
4,4,44.0089903000044,13,26,1,2,1,q,4.82575679999718,8.32,5.995,easy,2.325,"[4, '0,6 km', '20 m2', 5, '1,7 km', '30 m2']",909,-439,208,-240,497,-268,182,239,498,70,877,-129,1920,1080
5,5,55.0091283000074,11,22,1,2,1,p,3.57557319999614,1.93,8.11,easy,6.18,"[3, '4,2 km', '19 m2', 3, '0,25 km', '18 m2']",863,-458,196,-289,544,-285,224,213,536,37,857,-175,1920,1080
6,6,66.0091878000094,1,8,1,2,1,p,5.10787819999678,5.065,7.15,medium,2.085,"[4, '2,6 km', '17 m2', 3, '1,1 km', '21 m2']",813,-459,208,-338,504,-314,253,172,514,82,820,-142,1920,1080
7,7,77.0095085000066,17,23,1,2,1,q,2.78519249999954,7.75,4.075,easy,3.675,"[3, '0,1 km', '20 m2', 3, '1,5 km', '24 m2']",862,-467,202,-388,455,-324,235,125,485,123,770,-136,1920,1080
8,8,88.0089493000123,0,16,1,2,1,p,5.20876369999314,8.38,8.26,hard,0.119999999999999,"[4, '0,04 km', '18 m2', 3, '0,02 km', '20 m2']",820,-441,207,-338,489,-287,223,174,532,140,792,-91,1920,1080
9,9,99.0089698000083,10,24,1,2,1,q,4.83167529999628,6.025,3.04,easy,2.985,"[3, '1,8 km', '20 m2', 3, '3,3 km', '30 m2']",773,-423,219,-387,504,-335,241,127,581,130,785,-141,1920,1080
10,10,110.008942300003,2,23,1,2,1,q,3.59372099999746,9.085,4.075,easy,5.01,"[4, '0,06 km', '23 m2', 3, '1,5 km', '24 m2']",820,-406,173,-368,454,-339,283,155,585,80,831,-121,1920,1080
11,11,121.008986900008,17,20,1,2,1,q,3.21592479999526,7.75,5.47,medium,2.28,"[3, '0,1 km', '20 m2', 4, '1,1 km', '14 m2']",810,-455,141,-329,450,-389,308,112,614,121,842,-170,1920,1080
12,12,132.009100800002,4,28,1,2,1,q,3.78451610000047,4.24,2.2,medium,2.04,"[3, '2,2 km', '17 m2', 2, '3,8 km', '18 m2']",761,-464,132,-378,400,-394,355,130,609,71,855,-122,1920,1080
13,13,143.009323000006,7,20,1,2,1,p,5.27727269999741,5.275,5.47,hard,0.195,"[3, '1,8 km', '18 m2', 4, '1,1 km', '14 m2']",779,-417,108,-422,396,-344,311,107,646,38,869,-170,1920,1080
14,14,154.008910100005,9,22,1,2,1,p,4.29469569999492,5.605,8.11,easy,2.505,"[3, '1,3 km', '19 m2', 3, '0,25 km', '18 m2']",731,-432,98,-373,348,-330,280,68,624,-7,820,-178,1920,1080
15,16,165.009159500012,6,18,1,2,1,q,3.8864431999973,8.065,8.725,hard,0.66,"[3, '0,1 km', '20 m2', 4, '0,65 km', '23 m2']",759,-474,130,-411,391,-304,307,110,672,6,870,-183,1920,1080
16,17,176.010723600004,22,29,1,2,1,q,4.80370070000936,8.11,6.235,medium,1.875,"[3, '0,25 km', '18 m2', 2, '1,1 km', '23 m2']",710,-466,80,-412,341,-302,288,64,622,4,892,-138,1920,1080
17,20,187.009159600013,16,20,1,2,1,q,4.44346329999098,8.26,5.47,easy,2.79,"[3, '0,02 km', '20 m2', 4, '1,1 km', '14 m2']",758,-453,58,-457,383,-275,285,14,592,44,868,-94,1920,1080
18,21,198.010375900005,19,25,1,2,1,p,4.12112369999522,7.63,8.155,hard,0.524999999999999,"[4, '0,7 km', '23 m2', 3, '0,2 km', '20 m2']",788,-413,35,-413,428,-254,282,-36,547,66,822,-113,1920,1080
19,22,209.010428699999,11,29,1,2,1,p,3.3231303000066,1.93,6.235,easy,4.305,"[3, '4,2 km', '19 m2', 2, '1,1 km', '23 m2']",816,-454,51,-366,472,-230,253,5,512,30,871,-123,1920,1080
20,23,220.0103027,17,18,1,2,1,q,5.53425330000755,7.75,8.725,medium,0.975000000000001,"[3, '0,1 km', '20 m2', 4, '0,65 km', '23 m2']",866,-455,101,-368,507,-266,303,6,553,59,824,-106,1920,1080
21,24,231.010396600002,0,16,1,2,1,q,4.92617810000957,8.38,8.26,hard,0.119999999999999,"[4, '0,04 km', '18 m2', 3, '0,02 km', '20 m2']",817,-447,147,-387,535,-225,318,-42,593,89,865,-135,1920,1080
22,25,242.010274900007,12,27,1,2,1,p,5.04316269999254,8.425,8.935,hard,0.509999999999998,"[3, '0,04 km', '21 m2', 5, '0,05 km', '30 m2']",769,-460,186,-356,585,-218,284,-79,592,39,883,-182,1920,1080
23,26,253.010375800004,0,9,1,2,1,q,4.31737060000887,8.38,5.605,easy,2.775,"[4, '0,04 km', '18 m2', 3, '1,3 km', '19 m2']",811,-487,182,-306,633,-204,332,-93,612,85,897,-230,1920,1080
24,29,264.010382500011,6,18,1,2,1,q,4.93103639999754,8.065,8.725,hard,0.66,"[3, '0,1 km', '20 m2', 4, '0,65 km', '23 m2']",861,-489,132,-311,584,-215,343,-142,632,39,847,-226,1920,1080
25,30,275.010384900001,15,23,1,2,1,q,4.29133170000568,7.42,4.075,easy,3.345,"[3, '0,45 km', '18 m2', 3, '1,5 km', '24 m2']",891,-449,162,-351,581,-265,368,-98,653,84,881,-189,1920,1080
26,31,286.010333700004,11,28,1,2,1,p,5.31812700000592,1.93,2.2,hard,0.27,"[3, '4,2 km', '19 m2', 2, '3,8 km', '18 m2']",841,-453,209,-333,630,-273,405,-131,624,44,866,-141,1920,1080
27,32,297.010284000004,1,8,1,2,1,p,4.35618260000774,5.065,7.15,medium,2.085,"[4, '2,6 km', '17 m2', 3, '1,1 km', '21 m2']",890,-442,166,-308,669,-241,355,-133,574,43,893,-99,1920,1080
28,33,308.009648000007,21,24,1,2,1,q,3.88812909999979,4.27,3.04,medium,1.23,"[3, '2,1 km', '18 m2', 3, '3,3 km', '30 m2']",842,-455,213,-325,619,-237,329,-90,624,48,851,-72,1920,1080
29,34,319.008839400005,14,29,1,2,1,q,4.21660499999416,9.475,6.235,easy,3.24,"[4, '0,05 km', '22 m2', 2, '1,1 km', '23 m2']",793,-465,166,-309,594,-280,281,-77,650,91,864,-120,1920,1080
30,35,330.0090261,3,8,1,2,1,q,3.75303500000155,7.57,7.15,hard,0.42,"[3, '0,04 km', '18 m2', 3, '1,1 km', '21 m2']",841,-479,214,-295,585,-329,299,-30,676,134,822,-148,1920,1080
31,36,341.009028700006,1,7,1,2,1,p,6.54031910000776,5.065,5.275,hard,0.210000000000001,"[4, '2,6 km', '17 m2', 3, '1,8 km', '18 m2']",816,-436,243,-336,537,-315,317,17,636,164,802,-102,1920,1080
32,37,352.008804900004,12,20,1,2,1,q,4.07751469999494,8.425,5.47,easy,2.955,"[3, '0,04 km', '21 m2', 4, '1,1 km', '14 m2']",865,-445,225,-383,585,-328,348,-22,607,205,839,-136,1920,1080
33,38,363.009064500002,24,29,1,2,1,p,3.34835929999827,3.04,6.235,easy,3.195,"[3, '3,3 km', '30 m2', 2, '1,1 km', '23 m2']",900,-409,270,-405,635,-324,388,-52,633,163,836,-86,1920,1080
34,39,374.009077500014,2,14,1,2,1,q,6.82164689998899,9.085,9.475,hard,0.389999999999999,"[4, '0,06 km', '23 m2', 4, '0,05 km', '22 m2']",893,-359,236,-368,585,-330,403,-100,600,201,786,-82,1920,1080
35,41,385.008981800012,1,17,1,2,1,p,3.45931229999405,5.065,7.75,easy,2.685,"[4, '2,6 km', '17 m2', 3, '0,1 km', '20 m2']",852,-330,226,-417,591,-280,375,-141,581,155,812,-39,1920,1080
36,42,396.009055200004,12,18,1,2,1,q,4.15835140000854,8.425,8.725,hard,0.300000000000001,"[3, '0,04 km', '21 m2', 4, '0,65 km', '23 m2']",864,-379,189,-383,542,-289,338,-108,531,160,821,10,1920,1080
37,43,407.008950200005,23,24,1,2,1,q,4.28143000000273,4.075,3.04,medium,1.035,"[3, '1,5 km', '24 m2', 3, '3,3 km', '30 m2']",845,-333,214,-426,591,-277,338,-158,506,204,808,58,1920,1080
38,44,418.009064800004,23,26,1,2,1,p,7.10731120000128,4.075,5.995,medium,1.92,"[3, '1,5 km', '24 m2', 5, '1,7 km', '30 m2']",888,-358,238,-470,621,-317,309,-199,465,233,758,62,1920,1080
39,45,429.00897770001,25,26,1,2,1,q,3.01828409999143,8.155,5.995,medium,2.16,"[3, '0,2 km', '20 m2', 5, '1,7 km', '30 m2']",898,-407,285,-487,596,-274,331,-154,419,252,731,104,1920,1080
40,47,440.009057400006,20,21,1,2,1,q,2.59518950000347,5.47,4.27,medium,1.2,"[4, '1,1 km', '14 m2', 3, '2,1 km', '18 m2']",905,-357,322,-453,575,-320,300,-193,381,284,690,132,1920,1080
41,48,451.009073699999,12,26,1,2,1,q,4.08315250001033,8.425,5.995,easy,2.43,"[3, '0,04 km', '21 m2', 5, '1,7 km', '30 m2']",903,-307,296,-410,571,-270,298,-143,337,261,673,179,1920,1080
42,49,462.010487300009,3,9,1,2,1,q,2.46580199999153,7.57,5.605,medium,1.965,"[3, '0,04 km', '18 m2', 3, '1,3 km', '19 m2']",892,-356,285,-459,576,-320,256,-170,294,286,658,227,1920,1080
43,50,473.009083700003,17,19,1,2,1,q,2.93138950000866,7.75,7.63,hard,0.12,"[3, '0,1 km', '20 m2', 4, '0,7 km', '23 m2']",865,-398,264,-414,542,-357,283,-128,334,316,611,210,1920,1080
44,51,484.010536600006,3,13,1,2,1,q,5.46367860000464,7.57,8.32,hard,0.75,"[3, '0,04 km', '18 m2', 4, '0,6 km', '20 m2']",870,-448,298,-451,548,-307,322,-96,359,273,645,246,1920,1080
45,52,495.010586900011,14,19,1,2,1,q,4.82578929999727,9.475,7.63,medium,1.845,"[4, '0,05 km', '22 m2', 4, '0,7 km', '23 m2']",906,-413,343,-473,569,-262,285,-130,311,259,695,251,1920,1080
46,53,506.010254600013,1,16,1,2,1,p,3.04706359999545,5.065,8.26,easy,3.195,"[4, '2,6 km', '17 m2', 3, '0,02 km', '20 m2']",856,-418,307,-438,584,-310,315,-90,295,212,734,219,1920,1080
47,54,517.010464999999,8,13,1,2,1,p,4.80180320001091,7.15,8.32,medium,1.17,"[3, '1,1 km', '21 m2', 4, '0,6 km', '20 m2']",902,-437,344,-472,585,-260,267,-74,344,202,714,265,1920,1080
48,55,528.010582700008,14,19,1,2,1,q,3.17370309999387,9.475,7.63,medium,1.845,"[4, '0,05 km', '22 m2', 4, '0,7 km', '23 m2']",867,-473,321,-428,535,-257,241,-117,355,251,764,259,1920,1080
49,56,539.010490700006,9,24,1,2,1,q,3.79479470000661,5.605,3.04,easy,2.565,"[3, '1,3 km', '19 m2', 3, '3,3 km', '30 m2']",909,-446,277,-452,486,-248,249,-166,314,223,714,253,1920,1080
50,57,550.010520800002,0,10,1,2,1,q,3.94259400000738,8.38,6.025,easy,2.355,"[4, '0,04 km', '18 m2', 3, '1,8 km', '20 m2']",868,-474,325,-465,535,-258,297,-153,264,227,742,294,1920,1080
51,58,561.01077410001,19,25,1,2,1,p,4.95026479999069,7.63,8.155,hard,0.524999999999999,"[4, '0,7 km', '23 m2', 3, '0,2 km', '20 m2']",825,-448,358,-427,558,-214,294,-103,262,177,716,251,1920,1080
52,59,572.010324500006,14,26,1,2,1,q,3.0008952000062,9.475,5.995,easy,3.48,"[4, '0,05 km', '22 m2', 5, '1,7 km', '30 m2']",776,-437,395,-460,599,-243,254,-132,284,222,766,257,1920,1080
53,60,583.010287600002,15,18,1,2,1,q,4.26081690000137,7.42,8.725,medium,1.305,"[3, '0,45 km', '18 m2', 4, '0,65 km', '23 m2']",787,-486,392,-410,629,-203,216,-164,319,186,776,306,1920,1080
54,61,594.010298300011,9,10,1,2,1,q,5.78180129999237,5.605,6.025,hard,0.42,"[3, '1,3 km', '19 m2', 3, '1,8 km', '20 m2']",829,-458,343,-400,618,-252,178,-196,310,137,825,298,1920,1080
55,62,605.010742600003,4,28,1,2,1,q,4.39936130000569,4.24,2.2,medium,2.04,"[3, '2,2 km', '17 m2', 2, '3,8 km', '18 m2']",874,-479,318,-443,627,-301,228,-202,272,105,865,268,1920,1080
