Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00197810001554899,25,26,1,2,1,p,10.7530312000017,7.72,8.455,medium,0.734999999999999,"[3, '0,2 km', '20 m2', 5, '1,7 km', '30 m2']",737,397,219,392,543,-295,275,-217,629,-20,800,-343,1920,1080
1,1,11.0090177000093,20,25,1,2,1,p,6.06405290000839,7.765,7.72,hard,0.0449999999999999,"[4, '1,1 km', '14 m2', 3, '0,2 km', '20 m2']",704,360,169,388,497,-314,282,-167,651,-65,850,-349,1920,1080
2,2,22.0088520999998,6,26,1,2,1,q,8.1733888000017,7.66,8.455,medium,0.795,"[3, '0,1 km', '20 m2', 5, '1,7 km', '30 m2']",710,310,156,340,447,-317,265,-120,697,-85,869,-303,1920,1080
3,4,33.0090709000069,18,22,1,2,1,p,8.82605450000847,8.77,5.935,easy,2.835,"[4, '0,65 km', '23 m2', 3, '0,25 km', '18 m2']",759,302,183,298,497,-323,238,-162,700,-35,819,-309,1920,1080
4,5,44.0089202000236,6,13,1,2,1,q,5.16528339998331,7.66,8.605,medium,0.945,"[3, '0,1 km', '20 m2', 4, '0,6 km', '20 m2']",760,252,188,248,510,-275,248,-113,666,2,837,-262,1920,1080
5,6,55.0103567000187,2,23,1,2,1,q,5.72686169997905,8.185,4.9,easy,3.285,"[4, '0,06 km', '23 m2', 3, '1,5 km', '24 m2']",747,204,158,208,560,-277,222,-156,620,-17,824,-310,1920,1080
6,7,66.0105990000011,24,25,1,2,1,p,4.41070239999681,5.02,7.72,easy,2.7,"[3, '3,3 km', '30 m2', 3, '0,2 km', '20 m2']",784,238,207,197,532,-318,242,-202,634,31,868,-335,1920,1080
7,8,77.01032880001,9,10,1,2,1,q,5.65097439999226,5.155,5.425,hard,0.270000000000001,"[3, '1,3 km', '19 m2', 3, '1,8 km', '20 m2']",834,238,257,200,556,-274,249,-153,649,-17,895,-377,1920,1080
8,9,88.010520300013,0,2,1,2,1,q,5.86267090000911,8.725,8.185,hard,0.540000000000001,"[4, '0,04 km', '18 m2', 4, '0,06 km', '23 m2']",803,277,207,201,532,-318,212,-187,615,20,866,-336,1920,1080
9,10,99.0103332000144,6,20,1,2,1,q,4.8009638999938,7.66,7.765,hard,0.105,"[3, '0,1 km', '20 m2', 4, '1,1 km', '14 m2']",813,326,235,160,562,-358,232,-141,594,-26,822,-360,1920,1080
10,11,110.010616200016,12,27,1,2,1,p,4.78366739998455,8.425,9.475,medium,1.05,"[3, '0,04 km', '21 m2', 5, '0,05 km', '30 m2']",763,320,237,110,587,-315,241,-190,630,-60,858,-326,1920,1080
11,12,121.010472299997,9,15,1,2,1,p,5.42174940000405,5.155,6.985,medium,1.83,"[3, '1,3 km', '19 m2', 3, '0,45 km', '18 m2']",723,350,283,90,636,-307,204,-156,614,-13,906,-312,1920,1080
12,13,132.008938200015,13,19,1,2,1,q,7.44139190000715,8.605,7.87,medium,0.734999999999999,"[4, '0,6 km', '20 m2', 4, '0,7 km', '23 m2']",773,356,257,132,589,-291,252,-144,662,-26,888,-265,1920,1080
13,14,143.009088599996,0,18,1,2,1,q,4.87520320000476,8.725,8.77,hard,0.0449999999999982,"[4, '0,04 km', '18 m2', 4, '0,65 km', '23 m2']",726,340,275,179,550,-322,283,-183,705,-1,879,-314,1920,1080
14,15,154.008864300005,5,20,1,2,1,p,4.30948280001758,4.66,7.765,easy,3.105,"[3, '1,6 km', '18 m2', 4, '1,1 km', '14 m2']",761,305,234,150,533,-275,251,-145,669,-35,857,-269,1920,1080
15,16,165.008979500009,12,27,1,2,1,p,4.3654028000019,8.425,9.475,medium,1.05,"[3, '0,04 km', '21 m2', 5, '0,05 km', '30 m2']",736,348,280,169,502,-314,233,-99,705,0,869,-220,1920,1080
16,17,176.009095700021,12,13,1,2,1,q,5.51711699998123,8.425,8.605,hard,0.18,"[3, '0,04 km', '21 m2', 4, '0,6 km', '20 m2']",757,302,232,182,545,-340,279,-118,657,-14,822,-202,1920,1080
17,18,187.00892220001,2,24,1,2,1,q,4.92136800001026,8.185,5.02,easy,3.165,"[4, '0,06 km', '23 m2', 3, '3,3 km', '30 m2']",807,298,182,181,555,-291,321,-145,641,33,826,-252,1920,1080
18,19,198.008970900002,25,29,1,2,1,q,4.6984536999953,7.72,4.195,easy,3.525,"[3, '0,2 km', '20 m2', 2, '1,1 km', '23 m2']",798,249,180,231,604,-302,293,-104,593,47,876,-258,1920,1080
19,20,209.010376500024,0,9,1,2,1,q,3.88106209997204,8.725,5.155,easy,3.57,"[4, '0,04 km', '18 m2', 3, '1,3 km', '19 m2']",752,229,196,184,615,-253,342,-96,547,66,889,-306,1920,1080
20,22,220.009089400002,19,22,1,2,1,p,6.16832630001591,7.87,5.935,medium,1.935,"[4, '0,7 km', '23 m2', 3, '0,25 km', '18 m2']",799,213,239,209,633,-300,292,-91,547,116,893,-256,1920,1080
21,23,231.010411499999,0,16,1,2,1,p,5.78002010000637,8.725,7.435,medium,1.29,"[4, '0,04 km', '18 m2', 3, '0,02 km', '20 m2']",809,164,222,256,583,-304,335,-65,537,165,861,-294,1920,1080
22,24,242.010616000014,10,29,1,2,1,p,5.12989119999111,5.425,4.195,medium,1.23,"[3, '1,8 km', '20 m2', 2, '1,1 km', '23 m2']",859,164,199,300,540,-330,296,-96,488,172,828,-256,1920,1080
23,28,253.010322800022,18,23,1,2,1,q,3.8931123999937,8.77,4.9,easy,3.87,"[4, '0,65 km', '23 m2', 3, '1,5 km', '24 m2']",860,214,151,313,545,-380,339,-71,509,217,875,-239,1920,1080
24,30,264.010349700024,22,26,1,2,1,q,4.56718619997264,5.935,8.455,easy,2.52,"[3, '0,25 km', '18 m2', 5, '1,7 km', '30 m2']",905,192,135,266,577,-342,387,-85,559,211,838,-273,1920,1080
25,31,275.010361799999,17,23,1,2,1,q,3.36413180001546,7.945,4.9,easy,3.045,"[3, '0,1 km', '20 m2', 3, '1,5 km', '24 m2']",864,221,182,248,570,-391,337,-82,609,210,807,-234,1920,1080
26,32,286.00886240002,13,18,1,2,1,p,6.04057929999544,8.605,8.77,hard,0.164999999999999,"[4, '0,6 km', '20 m2', 4, '0,65 km', '23 m2']",862,171,153,289,520,-389,295,-110,623,258,785,-189,1920,1080
27,33,297.0090356,18,25,1,2,1,p,5.6344311000139,8.77,7.72,medium,1.05,"[4, '0,65 km', '23 m2', 3, '0,2 km', '20 m2']",864,121,194,261,559,-358,345,-116,583,228,805,-143,1920,1080
28,34,308.008929200005,1,11,1,2,1,q,3.57454800000414,7.495,4.96,easy,2.535,"[4, '2,6 km', '17 m2', 3, '4,2 km', '19 m2']",904,91,196,211,509,-360,330,-164,578,278,785,-189,1920,1080
29,36,319.008961300016,3,23,1,2,1,q,3.86160539998673,7.93,4.9,easy,3.03,"[3, '0,04 km', '18 m2', 3, '1,5 km', '24 m2']",854,90,237,183,493,-407,365,-128,608,318,769,-237,1920,1080
30,37,330.008921400004,0,9,1,2,1,q,3.25296830001753,8.725,5.155,easy,3.57,"[4, '0,04 km', '18 m2', 3, '1,3 km', '19 m2']",889,54,229,134,443,-404,337,-169,576,356,812,-262,1920,1080
31,38,341.009034800023,1,8,1,2,1,p,5.29048869997496,7.495,7.45,hard,0.0449999999999999,"[4, '2,6 km', '17 m2', 3, '1,1 km', '21 m2']",841,67,205,178,420,-359,346,-120,584,307,815,-212,1920,1080
32,39,352.008892700018,0,17,1,2,1,q,3.78768360000686,8.725,7.945,medium,0.780000000000002,"[4, '0,04 km', '18 m2', 3, '0,1 km', '20 m2']",819,112,255,174,470,-357,317,-79,630,325,846,-252,1920,1080
33,40,363.010403300024,23,24,1,2,1,q,4.58664229998249,4.9,5.02,hard,0.119999999999999,"[3, '1,5 km', '24 m2', 3, '3,3 km', '30 m2']",822,62,280,131,489,-403,319,-129,634,375,821,-209,1920,1080
34,41,374.008981799998,2,3,1,2,1,p,5.43158750000293,8.185,7.93,hard,0.255000000000001,"[4, '0,06 km', '23 m2', 3, '0,04 km', '18 m2']",872,60,231,143,485,-353,275,-153,586,360,833,-258,1920,1080
35,42,385.010340100009,4,28,1,2,1,q,3.59435460000532,5.71,2.41,easy,3.3,"[3, '2,2 km', '17 m2', 2, '3,8 km', '18 m2']",844,19,277,123,517,-314,252,-197,595,311,883,-255,1920,1080
36,43,396.010590300022,24,29,1,2,1,p,4.12000699999044,5.02,4.195,medium,0.824999999999999,"[3, '3,3 km', '30 m2', 2, '1,1 km', '23 m2']",796,5,323,104,504,-266,277,-154,645,315,844,-286,1920,1080
37,44,407.010457299999,3,26,1,2,1,q,3.95128490001662,7.93,8.455,hard,0.525,"[3, '0,04 km', '18 m2', 5, '1,7 km', '30 m2']",830,42,345,149,513,-217,265,-106,668,360,820,-330,1920,1080
