Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00183570000808686,18,23,1,2,1,q,10.1510002000723,5.56,5.965,hard,0.404999999999999,"[4, '0,65 km', '23 m2', 3, '1,5 km', '24 m2']",902,23,759,273,542,-248,154,-418,251,-2,416,226,1920,1080
1,2,11.0106747000245,5,20,1,2,1,p,4.57811300002504,5.86,6.07,hard,0.21,"[3, '1,6 km', '18 m2', 4, '1,1 km', '14 m2']",853,14,728,312,559,-295,162,-369,249,48,464,211,1920,1080
2,3,22.0090527000139,9,29,1,2,1,q,7.88374289998319,6.28,3.01,easy,3.27,"[3, '1,3 km', '19 m2', 2, '1,1 km', '23 m2']",867,-34,711,359,585,-338,209,-386,276,6,461,261,1920,1080
3,4,33.0089618000202,0,23,1,2,1,q,3.88090139999986,8.335,5.965,medium,2.37,"[4, '0,04 km', '18 m2', 3, '1,5 km', '24 m2']",895,-76,732,404,558,-296,193,-339,317,-22,509,246,1920,1080
4,5,44.008933300036,3,25,1,2,1,q,5.3969602000434,8.245,8.65,hard,0.404999999999998,"[3, '0,04 km', '18 m2', 3, '0,2 km', '20 m2']",871,-32,739,354,593,-260,222,-298,328,-71,465,270,1920,1080
5,6,55.0088388000149,20,24,1,2,1,q,4.30778739997186,6.07,3.7,medium,2.37,"[4, '1,1 km', '14 m2', 3, '3,3 km', '30 m2']",835,3,731,305,638,-281,272,-304,378,-76,455,221,1920,1080
6,7,66.0090425000526,14,16,1,2,1,q,6.12569250003435,8.605,8.575,hard,0.0300000000000011,"[4, '0,05 km', '22 m2', 3, '0,02 km', '20 m2']",878,-23,780,314,669,-320,293,-349,421,-101,497,194,1920,1080
7,9,77.0088350001024,12,26,1,2,1,q,6.01689929992426,7.735,4.315,easy,3.42,"[3, '0,04 km', '21 m2', 5, '1,7 km', '30 m2']",886,-72,830,308,648,-275,302,-398,392,-60,546,204,1920,1080
8,10,88.0090629000915,13,17,1,2,1,p,4.62574509996921,7.885,7.735,hard,0.150000000000001,"[4, '0,6 km', '20 m2', 3, '0,1 km', '20 m2']",839,-56,861,347,603,-253,282,-444,398,-10,525,249,1920,1080
9,11,99.0094141000882,5,26,1,2,1,p,3.76225029991474,5.86,4.315,medium,1.545,"[3, '1,6 km', '18 m2', 5, '1,7 km', '30 m2']",798,-28,814,331,576,-295,324,-471,402,-60,475,254,1920,1080
10,12,110.009013400064,17,23,1,2,1,q,3.78698009997606,7.735,5.965,medium,1.77,"[3, '0,1 km', '20 m2', 3, '1,5 km', '24 m2']",809,-77,855,359,593,-248,366,-444,362,-90,459,301,1920,1080
11,13,121.00894780003,3,8,1,2,1,q,4.02778939995915,8.245,6.385,medium,1.86,"[3, '0,04 km', '18 m2', 3, '1,1 km', '21 m2']",858,-66,824,399,640,-230,360,-394,335,-132,490,262,1920,1080
12,14,132.009097200004,21,29,1,2,1,p,7.06060780002736,4.03,3.01,hard,1.02,"[3, '2,1 km', '18 m2', 2, '1,1 km', '23 m2']",845,-18,803,444,590,-226,319,-422,286,-141,477,310,1920,1080
13,15,143.009444400086,2,24,1,2,1,q,4.09822009992786,8.635,3.7,easy,4.935,"[4, '0,06 km', '23 m2', 3, '3,3 km', '30 m2']",855,-67,773,404,621,-265,304,-374,280,-91,523,329,1920,1080
14,16,154.008974299999,0,27,1,2,1,p,4.67266710009426,8.335,9.43,medium,1.095,"[4, '0,04 km', '18 m2', 5, '0,05 km', '30 m2']",844,-18,735,436,578,-240,281,-419,299,-45,508,281,1920,1080
15,17,165.009046800085,21,29,1,2,1,p,4.82953569991514,4.03,3.01,hard,1.02,"[3, '2,1 km', '18 m2', 2, '1,1 km', '23 m2']",802,-46,715,482,579,-290,289,-370,320,-90,517,232,1920,1080
16,18,176.009088300052,11,21,1,2,1,p,4.67668929998763,1.825,4.03,medium,2.205,"[3, '4,2 km', '19 m2', 3, '2,1 km', '18 m2']",809,-95,758,457,628,-302,321,-408,361,-62,480,265,1920,1080
17,20,187.01034560008,9,29,1,2,1,q,4.6982893999666,6.28,3.01,easy,3.27,"[3, '1,3 km', '19 m2', 2, '1,1 km', '23 m2']",794,-47,713,478,653,-259,350,-367,361,-12,456,309,1920,1080
18,21,198.010466400068,2,23,1,2,1,q,4.16316450003069,8.635,5.965,easy,2.67,"[4, '0,06 km', '23 m2', 3, '1,5 km', '24 m2']",814,-93,757,455,675,-304,396,-388,411,-6,499,334,1920,1080
19,22,209.009014400071,1,24,1,2,1,q,3.81369510001969,4.465,3.7,hard,0.765,"[4, '2,6 km', '17 m2', 3, '3,3 km', '30 m2']",766,-80,791,418,705,-344,446,-390,368,19,470,293,1920,1080
20,23,220.010459500016,1,28,1,2,1,q,3.44633980002254,4.465,1.78,easy,2.685,"[4, '2,6 km', '17 m2', 2, '3,8 km', '18 m2']",725,-52,818,376,655,-346,403,-416,365,69,519,300,1920,1080
21,25,231.010259600007,26,29,1,2,1,q,4.13942650007084,4.315,3.01,medium,1.305,"[5, '1,7 km', '30 m2', 2, '1,1 km', '23 m2']",773,-38,856,344,647,-297,353,-422,362,119,555,334,1920,1080
22,26,242.010561400093,1,6,1,2,1,p,4.29443669994362,4.465,6.91,medium,2.445,"[4, '2,6 km', '17 m2', 3, '0,1 km', '20 m2']",724,-27,906,339,672,-340,346,-471,376,167,603,322,1920,1080
23,27,253.010294100037,1,12,1,2,1,p,4.08537320001051,4.465,7.735,easy,3.27,"[4, '2,6 km', '17 m2', 3, '0,04 km', '21 m2']",764,3,889,292,720,-355,395,-460,426,168,585,369,1920,1080
24,29,264.010507900035,1,16,1,2,1,p,5.7671590000391,4.465,8.575,easy,4.11,"[4, '2,6 km', '17 m2', 3, '0,02 km', '20 m2']",714,-1,866,247,703,-402,415,-414,470,145,635,372,1920,1080
25,31,275.010334299994,16,19,1,2,1,q,6.58031520002987,8.575,6.835,medium,1.74,"[3, '0,02 km', '20 m2', 4, '0,7 km', '23 m2']",734,-47,858,198,675,-360,392,-458,433,179,586,379,1920,1080
26,33,286.010350299999,17,19,1,2,1,q,4.2052401000401,7.735,6.835,hard,0.899999999999999,"[3, '0,1 km', '20 m2', 4, '0,7 km', '23 m2']",694,-17,899,169,626,-350,372,-412,413,225,610,423,1920,1080
27,34,297.010540700052,1,29,1,2,1,p,7.8110906999791,4.465,3.01,medium,1.455,"[4, '2,6 km', '17 m2', 2, '1,1 km', '23 m2']",647,-1,864,205,672,-369,325,-430,364,235,579,462,1920,1080
