Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00315989996306598,1,15,1,2,1,p,4.49786739982665,3.895,7.975,easy,4.08,"[4, '2,6 km', '17 m2', 3, '0,45 km', '18 m2']",278,-238,138,297,436,384,481,-6,623,-372,871,-90,1920,1080
1,1,11.0106539998669,1,29,1,2,1,p,5.31319130002521,3.895,7.075,easy,3.18,"[4, '2,6 km', '17 m2', 2, '1,1 km', '23 m2']",275,-188,182,321,475,415,524,-32,592,-333,905,-54,1920,1080
2,2,22.0104272998869,4,28,1,2,1,q,3.31946199992672,5.515,2.17,easy,3.345,"[3, '2,2 km', '17 m2', 2, '3,8 km', '18 m2']",238,-155,156,278,525,409,489,-67,546,-313,868,-20,1920,1080
3,3,33.0103180999868,0,29,1,2,1,q,3.65659139980562,8.71,7.075,medium,1.635,"[4, '0,04 km', '18 m2', 2, '1,1 km', '23 m2']",244,-105,202,298,545,455,535,-47,539,-363,824,-45,1920,1080
4,4,44.0103545999154,20,21,1,2,1,q,3.35239010001533,5.11,4.945,hard,0.165,"[4, '1,1 km', '14 m2', 3, '2,1 km', '18 m2']",231,-153,240,330,502,480,485,-44,508,-324,783,-73,1920,1080
5,5,55.0090522000101,3,17,1,2,1,p,6.57563929981552,8.335,7.615,hard,0.720000000000001,"[3, '0,04 km', '18 m2', 3, '0,1 km', '20 m2']",239,-104,287,347,545,455,494,5,467,-295,832,-64,1920,1080
6,6,66.0092014998663,11,28,1,2,1,p,6.27453200006858,2.05,2.17,hard,0.12,"[3, '4,2 km', '19 m2', 2, '3,8 km', '18 m2']",217,-149,276,298,497,469,455,-26,487,-341,879,-46,1920,1080
7,9,77.0093218998518,8,22,1,2,1,p,3.21749770012684,5.95,8.17,medium,2.22,"[3, '1,1 km', '21 m2', 3, '0,25 km', '18 m2']",260,-123,258,251,540,444,467,23,514,-383,855,-2,1920,1080
8,10,88.0087655999232,17,19,1,2,1,p,6.71807780000381,7.615,8.62,medium,1.005,"[3, '0,1 km', '20 m2', 4, '0,7 km', '23 m2']",308,-138,216,224,567,486,509,51,465,-394,827,40,1920,1080
9,11,99.0089468997903,8,23,1,2,1,q,4.04614550014958,5.95,6.07,hard,0.12,"[3, '1,1 km', '21 m2', 3, '1,5 km', '24 m2']",345,-105,167,214,614,470,547,84,421,-418,873,61,1920,1080
10,13,110.009460699977,12,16,1,2,1,p,5.37240809993818,8.44,8.245,hard,0.194999999999999,"[3, '0,04 km', '21 m2', 3, '0,02 km', '20 m2']",364,-151,216,204,664,477,538,133,448,-460,824,51,1920,1080
11,14,121.008902299916,4,24,1,2,1,q,3.80703189992346,5.515,3.04,easy,2.475,"[3, '2,2 km', '17 m2', 3, '3,3 km', '30 m2']",382,-197,189,246,646,431,488,137,498,-465,778,71,1920,1080
12,15,132.00902160001,14,23,1,2,1,q,3.43289909977466,8.785,6.07,easy,2.715,"[4, '0,05 km', '22 m2', 3, '1,5 km', '24 m2']",337,-175,212,202,626,385,450,105,479,-419,815,37,1920,1080
13,16,143.00918539986,15,18,1,2,1,p,4.78548870002851,7.975,9.01,medium,1.035,"[3, '0,45 km', '18 m2', 4, '0,65 km', '23 m2']",341,-125,248,237,605,430,495,84,430,-431,816,87,1920,1080
14,17,154.009009099798,6,29,1,2,1,q,5.68070110003464,7.9,7.075,hard,0.825,"[3, '0,1 km', '20 m2', 2, '1,1 km', '23 m2']",297,-149,202,257,582,475,471,40,382,-417,866,84,1920,1080
15,18,165.010364499874,13,22,1,2,1,p,4.46534110000357,9.025,8.17,medium,0.855,"[4, '0,6 km', '20 m2', 3, '0,25 km', '18 m2']",261,-114,230,299,539,450,512,12,376,-367,851,132,1920,1080
16,19,176.008975500008,6,23,1,2,1,q,3.7985235999804,7.9,6.07,medium,1.83,"[3, '0,1 km', '20 m2', 3, '1,5 km', '24 m2']",295,-78,185,320,532,401,559,-5,343,-329,856,82,1920,1080
17,20,187.009082099889,12,13,1,2,1,p,4.48072029999457,8.44,9.025,hard,0.585000000000001,"[3, '0,04 km', '21 m2', 4, '0,6 km', '20 m2']",340,-99,174,271,525,351,600,23,350,-378,852,132,1920,1080
18,21,198.009182199836,3,8,1,2,1,q,3.78650210006162,8.335,5.95,easy,2.385,"[3, '0,04 km', '18 m2', 3, '1,1 km', '21 m2']",302,-66,143,232,482,376,639,-8,327,-334,877,89,1920,1080
19,23,209.010605799966,3,6,1,2,1,q,3.27094840002246,8.335,7.9,hard,0.435,"[3, '0,04 km', '18 m2', 3, '0,1 km', '20 m2']",331,-26,111,270,440,348,590,3,376,-322,836,61,1920,1080
20,24,220.00920239999,8,16,1,2,1,p,4.25928030000068,5.95,8.245,medium,2.295,"[3, '1,1 km', '21 m2', 3, '0,02 km', '20 m2']",281,-30,65,250,455,396,634,-20,340,-357,886,61,1920,1080
21,26,231.010491099907,5,11,1,2,1,q,3.40613220003433,6.715,2.05,easy,4.665,"[3, '1,6 km', '18 m2', 3, '4,2 km', '19 m2']",273,19,34,289,503,409,682,-33,291,-368,890,111,1920,1080
22,28,242.010621899972,6,24,1,2,1,q,3.07589009986259,7.9,3.04,easy,4.86,"[3, '0,1 km', '20 m2', 3, '3,3 km', '30 m2']",304,-20,83,281,521,363,633,-40,242,-360,905,159,1920,1080
