Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00466020032763481,24,25,1,2,1,,NaN,5.26,6.16,medium,0.9,"[3, '3,3 km', '30 m2', 3, '0,2 km', '20 m2']",-884,-168,-630,-93,-362,-407,-270,-108,-165,252,-720,-462,1920,1080
1,1,11.0093979015946,6,20,1,2,1,p,7.24092059955001,7.03,7.165,hard,0.135000000000001,"[3, '0,1 km', '20 m2', 4, '1,1 km', '14 m2']",-909,-125,-622,-44,-403,-436,-314,-131,-215,253,-763,-436,1920,1080
2,2,22.0102290026844,1,4,1,2,1,q,3.50885879993439,6.925,5.455,easy,1.47,"[4, '2,6 km', '17 m2', 3, '2,2 km', '17 m2']",-859,-119,-634,5,-397,-386,-362,-116,-264,264,-737,-479,1920,1080
3,3,33.008856203407,5,29,1,2,1,q,6.76967169716954,5.11,5.005,hard,0.104999999999999,"[3, '1,6 km', '18 m2', 2, '1,1 km', '23 m2']",-908,-110,-682,20,-437,-356,-312,-113,-229,228,-719,-432,1920,1080
4,5,44.0091953016818,3,19,1,2,1,p,5.09218979999423,7.105,7.915,medium,0.809999999999999,"[3, '0,04 km', '18 m2', 4, '0,7 km', '23 m2']",-863,-133,-635,36,-388,-345,-342,-73,-275,248,-760,-461,1920,1080
5,6,55.0103751011193,17,20,1,2,1,p,5.18201430141926,6.895,7.165,hard,0.270000000000001,"[3, '0,1 km', '20 m2', 4, '1,1 km', '14 m2']",-863,-183,-652,83,-407,-299,-300,-47,-303,207,-712,-474,1920,1080
6,7,66.0102996006608,3,9,1,2,1,q,5.72995170205832,7.105,5.545,easy,1.56,"[3, '0,04 km', '18 m2', 3, '1,3 km', '19 m2']",-821,-156,-663,132,-440,-262,-269,-8,-339,242,-662,-479,1920,1080
7,8,77.0087845027447,5,10,1,2,1,q,7.25954959914088,5.11,6.46,easy,1.35,"[3, '1,6 km', '18 m2', 3, '1,8 km', '20 m2']",-787,-119,-697,169,-479,-231,-264,-58,-370,203,-613,-468,1920,1080
8,9,88.0093358010054,2,26,1,2,1,q,6.25499100238085,7.63,7.96,hard,0.33,"[4, '0,06 km', '23 m2', 5, '1,7 km', '30 m2']",-748,-87,-696,219,-494,-279,-253,-107,-420,206,-663,-465,1920,1080
9,10,99.0106287002563,17,20,1,2,1,q,7.8834475018084,6.895,7.165,hard,0.270000000000001,"[3, '0,1 km', '20 m2', 4, '1,1 km', '14 m2']",-698,-87,-729,182,-471,-323,-250,-57,-438,253,-710,-482,1920,1080
