Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00193340005353093,18,25,1,2,1,p,7.63859249977395,8.605,6.28,easy,2.325,"[4, '0,65 km', '23 m2', 3, '0,2 km', '20 m2']",-774,-78,-265,179,-111,474,-450,-489,-898,239,-389,401,1920,1080
1,3,11.0093740001321,6,23,1,2,1,q,5.94306319998577,7.45,10.77,easy,3.32,"[3, '0,1 km', '20 m2', 3, '1,5 km', '24 m2']",-824,-74,-234,140,-144,437,-456,-439,-890,190,-420,362,1920,1080
2,4,22.0092290998437,7,11,1,2,1,q,5.1394305001013,6.415,4.51,medium,1.905,"[3, '1,8 km', '18 m2', 3, '4,2 km', '19 m2']",-791,-37,-194,170,-193,446,-413,-465,-856,226,-451,401,1920,1080
3,5,33.0088684000075,12,26,1,2,1,p,5.34258819976822,7.195,8.515,medium,1.32,"[3, '0,04 km', '21 m2', 5, '1,7 km', '30 m2']",-841,-38,-216,215,-157,481,-378,-429,-906,233,-488,367,1920,1080
4,6,44.0089531000704,3,6,1,2,1,p,6.19158810004592,7.42,7.45,hard,0.0299999999999994,"[3, '0,04 km', '18 m2', 3, '0,1 km', '20 m2']",-814,4,-266,214,-206,489,-428,-425,-885,278,-499,416,1920,1080
5,7,55.0090951998718,0,26,1,2,1,q,6.55639219982549,8.47,8.515,hard,0.0450000000000017,"[4, '0,04 km', '18 m2', 5, '1,7 km', '30 m2']",-802,53,-252,166,-170,455,-424,-375,-880,328,-510,465,1920,1080
6,8,66.0091868001036,3,11,1,2,1,q,8.11450869962573,7.42,4.51,easy,2.91,"[3, '0,04 km', '18 m2', 3, '4,2 km', '19 m2']",-796,3,-283,127,-178,406,-473,-382,-864,375,-460,469,1920,1080
7,9,77.0089753000066,17,19,1,2,1,p,5.19749969989061,7.51,8.215,hard,0.705,"[3, '0,1 km', '20 m2', 4, '0,7 km', '23 m2']",-750,24,-328,104,-218,376,-450,-337,-848,328,-510,474,1920,1080
8,10,88.009163599927,20,25,1,2,1,q,6.84031799994409,7,6.28,hard,0.72,"[4, '1,1 km', '14 m2', 3, '0,2 km', '20 m2']",-731,70,-280,120,-209,425,-499,-325,-862,376,-551,446,1920,1080
9,11,99.0105085996911,2,14,1,2,1,q,10.7252682000399,9.1,9.325,hard,0.225,"[4, '0,06 km', '23 m2', 4, '0,05 km', '22 m2']",-765,107,-230,115,-219,376,-546,-308,-905,351,-555,396,1920,1080
10,12,110.009209899697,5,24,1,2,1,q,6.17640860006213,5.62,5.425,hard,0.195,"[3, '1,6 km', '18 m2', 3, '3,3 km', '30 m2']",-725,77,-280,110,-237,423,-511,-344,-870,315,-605,400,1920,1080
11,13,121.010526599828,7,11,1,2,1,q,5.7121252999641,6.415,4.51,medium,1.905,"[3, '1,8 km', '18 m2', 3, '4,2 km', '19 m2']",-727,27,-239,81,-274,457,-561,-339,-863,265,-555,398,1920,1080
12,14,132.010707600042,16,26,1,2,1,p,6.72225390002131,8.035,8.515,hard,0.48,"[3, '0,02 km', '20 m2', 5, '1,7 km', '30 m2']",-700,69,-289,82,-230,480,-558,-289,-908,242,-594,367,1920,1080
13,15,143.010643499903,13,19,1,2,1,,NaN,8.815,8.215,hard,0.6,"[4, '0,6 km', '20 m2', 4, '0,7 km', '23 m2']",-653,52,-305,35,-265,445,-606,-276,-858,235,-599,417,1920,1080
14,16,154.010467699729,1,11,1,2,1,q,4.07215470029041,6.85,4.51,easy,2.34,"[4, '2,6 km', '17 m2', 3, '4,2 km', '19 m2']",-701,37,-296,84,-313,459,-588,-323,-907,243,-632,380,1920,1080
15,18,165.010518900119,9,10,1,2,1,q,4.11508949985728,7,5.485,medium,1.515,"[3, '1,3 km', '19 m2', 3, '1,8 km', '20 m2']",-652,49,-312,37,-347,423,-625,-289,-859,256,-665,417,1920,1080
16,19,176.008997200057,12,27,1,2,1,p,8.08237960003316,7.195,9.97,easy,2.775,"[3, '0,04 km', '21 m2', 5, '0,05 km', '30 m2']",-606,31,-341,-4,-340,374,-622,-239,-895,222,-713,403,1920,1080
17,20,187.009040999692,20,26,1,2,1,p,4.16681300010532,7,8.515,medium,1.515,"[4, '1,1 km', '14 m2', 5, '1,7 km', '30 m2']",-611,81,-303,-36,-316,418,-576,-258,-858,189,-760,421,1920,1080
18,21,198.008846099954,14,24,1,2,1,q,4.0836649001576,9.325,5.425,easy,3.9,"[4, '0,05 km', '22 m2', 3, '3,3 km', '30 m2']",-588,126,-293,13,-334,465,-527,-269,-906,204,-712,407,1920,1080
19,22,209.008996299934,1,10,1,2,1,q,6.74759420007467,6.85,5.485,medium,1.365,"[4, '2,6 km', '17 m2', 3, '1,8 km', '20 m2']",-605,79,-300,-36,-376,438,-517,-318,-879,246,-662,400,1920,1080
20,23,220.008947900031,25,26,1,2,1,p,3.40858769975603,6.28,8.515,easy,2.235,"[3, '0,2 km', '20 m2', 5, '1,7 km', '30 m2']",-563,51,-250,-41,-423,454,-565,-304,-895,199,-666,350,1920,1080
21,24,231.008973299991,8,22,1,2,1,p,5.48652089992538,9.255,6.925,easy,2.33,"[3, '1,1 km', '21 m2', 3, '0,25 km', '18 m2']",-513,45,-240,-90,-393,414,-560,-354,-892,249,-650,397,1920,1080
22,25,242.009089699946,8,22,1,2,1,p,10.1054504001513,9.255,6.925,easy,2.33,"[3, '1,1 km', '21 m2', 3, '0,25 km', '18 m2']",-477,11,-227,-138,-408,366,-603,-328,-883,200,-667,350,1920,1080
23,26,253.009017299861,3,13,1,2,1,p,4.76649650000036,7.42,8.815,medium,1.395,"[3, '0,04 km', '18 m2', 4, '0,6 km', '20 m2']",-516,-20,-277,-145,-367,394,-577,-285,-837,180,-622,371,1920,1080
24,27,264.008983099833,5,11,1,2,1,q,4.28153129993007,5.62,4.51,medium,1.11,"[3, '1,6 km', '18 m2', 3, '4,2 km', '19 m2']",-469,-3,-274,-195,-317,397,-570,-334,-885,167,-670,385,1920,1080
25,28,275.009048199747,1,28,1,2,1,q,4.22132580028847,6.85,3.445,easy,3.405,"[4, '2,6 km', '17 m2', 2, '3,8 km', '18 m2']",-496,39,-271,-245,-269,382,-539,-373,-837,181,-644,342,1920,1080
26,29,286.009120999835,3,20,1,2,1,p,5.86656229989603,7.42,7,hard,0.42,"[3, '0,04 km', '18 m2', 4, '1,1 km', '14 m2']",-459,73,-290,-199,-319,387,-495,-349,-884,165,-651,292,1920,1080
27,31,297.010632699821,1,21,1,2,1,p,7.29693010030314,6.85,4.915,medium,1.935,"[4, '2,6 km', '17 m2', 3, '2,1 km', '18 m2']",-437,28,-243,-183,-311,338,-469,-306,-898,117,-633,339,1920,1080
28,32,308.010591699742,18,23,1,2,1,q,5.25205330038443,8.605,10.77,easy,2.165,"[4, '0,65 km', '23 m2', 3, '1,5 km', '24 m2']",-415,73,-293,-179,-265,358,-518,-315,-856,90,-664,300,1920,1080
29,33,319.010456900112,0,10,1,2,1,q,2.90601669996977,8.47,5.485,easy,2.985,"[4, '0,04 km', '18 m2', 3, '1,8 km', '20 m2']",-365,73,-301,-228,-277,309,-561,-290,-864,41,-624,271,1920,1080
30,34,330.01017079968,11,21,1,2,1,p,5.26430690009147,4.51,4.915,hard,0.405,"[3, '4,2 km', '19 m2', 3, '2,1 km', '18 m2']",-335,33,-251,-234,-279,359,-513,-305,-817,57,-599,228,1920,1080
31,35,341.010550200008,1,17,1,2,1,p,10.3070296999067,6.85,7.51,hard,0.66,"[4, '2,6 km', '17 m2', 3, '0,1 km', '20 m2']",-285,38,-205,-216,-304,402,-548,-269,-802,9,-645,209,1920,1080
32,37,352.010307500139,0,10,1,2,1,q,5.50898649962619,8.47,5.485,easy,2.985,"[4, '0,04 km', '18 m2', 3, '1,8 km', '20 m2']",-322,72,-208,-166,-331,444,-564,-316,-852,6,-595,203,1920,1080
33,38,363.01042199973,9,24,1,2,1,q,3.53028920013457,7,5.425,medium,1.575,"[3, '1,3 km', '19 m2', 3, '3,3 km', '30 m2']",-331,23,-218,-215,-339,395,-516,-328,-810,33,-570,160,1920,1080
34,39,374.008903999813,6,13,1,2,1,p,5.5907894000411,7.45,8.815,medium,1.365,"[3, '0,1 km', '20 m2', 4, '0,6 km', '20 m2']",-359,64,-196,-170,-388,406,-501,-376,-782,-8,-608,192,1920,1080
35,40,385.009024799801,15,20,1,2,1,p,4.99262880021706,6.325,7,hard,0.675000000000001,"[3, '0,45 km', '18 m2', 4, '1,1 km', '14 m2']",-355,114,-239,-195,-387,456,-463,-343,-757,-51,-615,242,1920,1080
36,41,396.008834599983,3,10,1,2,1,,NaN,7.42,5.485,medium,1.935,"[3, '0,04 km', '18 m2', 3, '1,8 km', '20 m2']",-355,164,-208,-155,-338,467,-432,-304,-737,-5,-642,284,1920,1080
37,42,407.009019299876,14,19,1,2,1,q,4.5935022002086,9.325,8.215,medium,1.11,"[4, '0,05 km', '22 m2', 4, '0,7 km', '23 m2']",-329,121,-253,-133,-300,435,-478,-323,-708,-46,-626,237,1920,1080
38,43,418.009161400143,5,20,1,2,1,p,3.1524421996437,5.62,7,medium,1.38,"[3, '1,6 km', '18 m2', 4, '1,1 km', '14 m2']",-378,129,-242,-182,-253,419,-450,-365,-715,3,-645,283,1920,1080
39,44,429.00898269983,14,23,1,2,1,q,3.73651950014755,9.325,10.77,medium,1.445,"[4, '0,05 km', '22 m2', 3, '1,5 km', '24 m2']",-428,124,-225,-135,-285,457,-403,-381,-760,25,-641,333,1920,1080
40,45,440.008899199776,16,18,1,2,1,p,2.95506710000336,8.035,8.605,hard,0.57,"[3, '0,02 km', '20 m2', 4, '0,65 km', '23 m2']",-379,113,-206,-181,-301,410,-356,-398,-768,-24,-690,323,1920,1080
41,47,451.009032499977,2,23,1,2,1,q,3.50249309977516,9.1,10.77,medium,1.67,"[4, '0,06 km', '23 m2', 3, '1,5 km', '24 m2']",-381,163,-255,-169,-338,444,-347,-447,-735,-62,-731,294,1920,1080
42,49,462.009151499718,6,26,1,2,1,p,4.51357270032167,7.45,8.515,medium,1.065,"[3, '0,1 km', '20 m2', 5, '1,7 km', '30 m2']",-431,159,-245,-120,-388,446,-374,-489,-697,-94,-732,244,1920,1080
43,50,473.008925700095,20,29,1,2,1,q,6.47454399988055,7,3.535,easy,3.465,"[4, '1,1 km', '14 m2', 2, '1,1 km', '23 m2']",-478,177,-207,-152,-363,489,-419,-467,-726,-53,-715,291,1920,1080
44,51,484.009099300019,1,6,1,2,1,q,5.41457139980048,6.85,7.45,hard,0.6,"[4, '2,6 km', '17 m2', 3, '0,1 km', '20 m2']",-438,207,-214,-201,-326,455,-407,-418,-680,-35,-764,281,1920,1080
45,52,495.009495900013,3,29,1,2,1,q,4.32107459986582,7.42,3.535,easy,3.885,"[3, '0,04 km', '18 m2', 2, '1,1 km', '23 m2']",-483,185,-164,-205,-288,423,-371,-384,-665,-83,-717,299,1920,1080
46,53,506.010617199819,17,29,1,2,1,q,5.20680360030383,7.51,3.535,easy,3.975,"[3, '0,1 km', '20 m2', 2, '1,1 km', '23 m2']",-533,180,-118,-224,-252,458,-321,-379,-616,-75,-726,348,1920,1080
47,54,517.009385799989,19,22,1,2,1,q,4.73219530005008,8.215,6.925,medium,1.29,"[4, '0,7 km', '23 m2', 3, '0,25 km', '18 m2']",-581,193,-152,-261,-262,409,-367,-398,-587,-116,-775,356,1920,1080
