Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00290760002098978,16,23,1,2,1,q,5.96723599999677,6.565,3.79,easy,2.775,"[3, '0,02 km', '20 m2', 3, '1,5 km', '24 m2']",252,-162,873,-1,534,-450,209,-488,706,212,347,286,1920,1080
1,1,11.0093303000322,23,25,1,2,1,p,3.17165549995843,3.79,6.805,easy,3.015,"[3, '1,5 km', '24 m2', 3, '0,2 km', '20 m2']",272,-116,824,10,542,-401,186,-444,656,205,376,327,1920,1080
2,2,22.0103589000646,17,29,1,2,1,q,3.10558029997628,6.295,3.595,easy,2.7,"[3, '0,1 km', '20 m2', 2, '1,1 km', '23 m2']",312,-147,817,60,558,-449,176,-395,630,247,360,374,1920,1080
3,3,33.0106152000371,12,14,1,2,1,p,5.85926880000625,5.785,6.67,hard,0.885,"[3, '0,04 km', '21 m2', 4, '0,05 km', '22 m2']",331,-101,841,16,607,-441,226,-396,581,254,343,421,1920,1080
4,4,44.0091392999748,12,24,1,2,1,q,3.06372030009516,5.785,2.755,easy,3.03,"[3, '0,04 km', '21 m2', 3, '3,3 km', '30 m2']",291,-70,793,2,616,-392,201,-439,628,237,393,425,1920,1080
5,5,55.0104107999941,4,11,1,2,1,q,3.71563059999608,3.295,2.125,medium,1.17,"[3, '2,2 km', '17 m2', 3, '4,2 km', '19 m2']",306,-118,830,35,616,-442,251,-442,596,198,443,428,1920,1080
6,7,66.0094519000268,3,17,1,2,1,q,6.23745460005011,6.22,6.295,hard,0.0750000000000002,"[3, '0,04 km', '18 m2', 3, '0,1 km', '20 m2']",331,-161,879,24,584,-481,220,-481,624,239,409,392,1920,1080
7,8,77.010230600019,6,13,1,2,1,q,9.59963800001424,7.645,5.59,medium,2.055,"[3, '0,1 km', '20 m2', 4, '0,6 km', '20 m2']",350,-207,884,-26,547,-447,270,-479,636,190,409,342,1920,1080
8,10,88.0105732000666,20,26,1,2,1,p,6.49448489991482,4.48,3.385,hard,1.095,"[4, '1,1 km', '14 m2', 5, '1,7 km', '30 m2']",397,-225,852,-64,593,-468,319,-488,649,142,396,294,1920,1080
9,12,99.0101482999744,25,29,1,2,1,q,3.99195960001089,6.805,3.595,easy,3.21,"[3, '0,2 km', '20 m2', 2, '1,1 km', '23 m2']",408,-176,814,-96,623,-428,278,-460,698,150,444,279,1920,1080
10,13,110.010348399985,4,24,1,2,1,q,10.3056975000072,3.295,2.755,hard,0.54,"[3, '2,2 km', '17 m2', 3, '3,3 km', '30 m2']",367,-204,815,-146,611,-476,326,-474,745,134,419,323,1920,1080
11,14,121.010591299972,12,26,1,2,1,q,3.35624200000893,5.785,3.385,medium,2.4,"[3, '0,04 km', '21 m2', 5, '1,7 km', '30 m2']",409,-177,767,-133,624,-428,343,-427,698,150,468,312,1920,1080
12,15,132.010388400056,8,20,1,2,1,q,7.67437779996544,4.645,4.48,hard,0.164999999999999,"[3, '1,1 km', '21 m2', 4, '1,1 km', '14 m2']",413,-127,816,-141,639,-476,304,-396,747,161,469,362,1920,1080
13,16,143.009559000027,11,29,1,2,1,p,4.19113609998021,2.125,3.595,medium,1.47,"[3, '4,2 km', '19 m2', 2, '1,1 km', '23 m2']",418,-77,856,-111,653,-428,267,-363,797,156,440,321,1920,1080
14,17,154.008942999994,10,22,1,2,1,p,3.94619360007346,3.94,6.415,easy,2.475,"[3, '1,8 km', '20 m2', 3, '0,25 km', '18 m2']",452,-40,905,-123,633,-382,297,-403,831,119,420,275,1920,1080
15,18,165.009008000023,2,14,1,2,1,p,5.44374050002079,7.375,6.67,hard,0.705,"[4, '0,06 km', '23 m2', 4, '0,05 km', '22 m2']",492,-10,857,-138,679,-362,250,-419,787,143,380,245,1920,1080
16,19,176.009058900061,14,24,1,2,1,q,4.81677489995491,6.67,2.755,easy,3.915,"[4, '0,05 km', '22 m2', 3, '3,3 km', '30 m2']",532,-40,889,-100,718,-330,284,-382,801,191,427,263,1920,1080
17,20,187.008774799993,4,28,1,2,1,q,5.44607920001727,3.295,1.63,medium,1.665,"[3, '2,2 km', '17 m2', 2, '3,8 km', '18 m2']",517,-88,848,-71,669,-322,305,-427,851,187,387,233,1920,1080
18,21,198.009062399971,16,27,1,2,1,p,4.27981750003528,6.565,9.745,easy,3.18,"[3, '0,02 km', '20 m2', 5, '0,05 km', '30 m2']",520,-138,800,-57,643,-365,353,-440,899,173,428,204,1920,1080
19,22,209.008759899996,9,23,1,2,1,p,5.17694110004231,4.03,3.79,hard,0.239999999999999,"[3, '1,3 km', '19 m2', 3, '1,5 km', '24 m2']",538,-185,805,-107,637,-415,384,-479,852,157,453,247,1920,1080
20,23,220.009311800008,1,5,1,2,1,p,4.81839170004241,2.92,4.57,medium,1.65,"[4, '2,6 km', '17 m2', 3, '1,6 km', '18 m2']",577,-216,848,-132,637,-465,361,-435,846,207,461,296,1920,1080
21,24,231.009111099993,0,23,1,2,1,q,4.45454609999433,8.215,3.79,easy,4.425,"[4, '0,04 km', '18 m2', 3, '1,5 km', '24 m2']",595,-169,890,-159,686,-454,311,-429,831,159,414,279,1920,1080
22,25,242.008972399984,17,26,1,2,1,q,3.42279039998539,6.295,3.385,easy,2.91,"[3, '0,1 km', '20 m2', 5, '1,7 km', '30 m2']",644,-181,906,-206,636,-449,263,-415,790,187,402,231,1920,1080
23,26,253.009011700051,3,10,1,2,1,q,3.53286039992236,6.22,3.94,medium,2.28,"[3, '0,04 km', '18 m2', 3, '1,8 km', '20 m2']",660,-134,894,-255,601,-413,250,-367,758,225,451,238,1920,1080
24,28,264.009060400072,0,2,1,2,1,p,5.64893509994727,8.215,7.375,hard,0.84,"[4, '0,04 km', '18 m2', 4, '0,06 km', '23 m2']",673,-86,871,-299,560,-442,205,-388,775,178,479,279,1920,1080
25,29,275.009025900043,13,26,1,2,1,q,4.99056930001825,5.59,3.385,medium,2.205,"[4, '0,6 km', '20 m2', 5, '1,7 km', '30 m2']",680,-136,863,-348,586,-399,183,-343,818,152,489,230,1920,1080
26,30,286.010189800058,0,14,1,2,1,p,5.56032419996336,8.215,6.67,medium,1.545,"[4, '0,04 km', '18 m2', 4, '0,05 km', '22 m2']",722,-109,897,-385,543,-374,214,-304,831,200,514,187,1920,1080
27,31,297.008953400073,7,29,1,2,1,p,5.34073959989473,3.94,3.595,hard,0.345,"[3, '1,8 km', '18 m2', 2, '1,1 km', '23 m2']",755,-146,847,-392,534,-423,178,-338,800,239,473,159,1920,1080
28,32,308.009162200033,0,12,1,2,1,q,8.85752890002914,8.215,5.785,medium,2.43,"[4, '0,04 km', '18 m2', 3, '0,04 km', '21 m2']",804,-139,870,-436,563,-382,128,-334,765,204,512,128,1920,1080
29,34,319.010836199974,14,26,1,2,1,q,4.61477200000081,6.67,3.385,easy,3.285,"[4, '0,05 km', '22 m2', 5, '1,7 km', '30 m2']",754,-138,873,-386,533,-342,159,-295,762,254,537,85,1920,1080
30,35,330.009042900056,4,24,1,2,1,q,5.96648409997579,3.295,2.755,hard,0.54,"[3, '2,2 km', '17 m2', 3, '3,3 km', '30 m2']",777,-183,887,-434,486,-326,133,-338,712,250,534,35,1920,1080
31,37,341.009211200057,1,16,1,2,1,p,4.15951739996672,2.92,6.565,easy,3.645,"[4, '2,6 km', '17 m2', 3, '0,02 km', '20 m2']",744,-145,857,-394,501,-374,83,-344,734,295,486,22,1920,1080
32,38,352.009280500002,3,17,1,2,1,q,3.97267420007847,6.22,6.295,hard,0.0750000000000002,"[3, '0,04 km', '18 m2', 3, '0,1 km', '20 m2']",787,-119,808,-402,474,-416,114,-304,782,309,449,56,1920,1080
33,39,363.010184000013,8,17,1,2,1,p,4.92242149997037,4.645,6.295,medium,1.65,"[3, '1,1 km', '21 m2', 3, '0,1 km', '20 m2']",753,-82,853,-381,434,-387,107,-255,832,316,494,33,1920,1080
34,40,374.009204500006,1,7,1,2,1,p,3.93953860003967,2.92,3.94,hard,1.02,"[4, '2,6 km', '17 m2', 3, '1,8 km', '18 m2']",718,-118,884,-342,471,-420,126,-301,791,345,446,18,1920,1080
35,41,385.010592699982,18,23,1,2,1,q,3.97289380000438,7.945,3.79,easy,4.155,"[4, '0,65 km', '23 m2', 3, '1,5 km', '24 m2']",762,-94,904,-388,421,-418,166,-271,784,394,398,4,1920,1080
36,42,396.010435600067,6,13,1,2,1,q,4.26414449990261,7.645,5.59,medium,2.055,"[3, '0,1 km', '20 m2', 4, '0,6 km', '20 m2']",714,-108,857,-405,405,-371,124,-298,763,348,441,30,1920,1080
37,43,407.010358000058,22,29,1,2,1,q,3.87936589994934,6.415,3.595,easy,2.82,"[3, '0,25 km', '18 m2', 2, '1,1 km', '23 m2']",721,-59,829,-447,453,-384,149,-341,813,342,402,-1,1920,1080
38,44,418.010651300079,1,25,1,2,1,p,4.17385259992443,2.92,6.805,easy,3.885,"[4, '2,6 km', '17 m2', 3, '0,2 km', '20 m2']",671,-61,872,-473,502,-374,190,-370,861,329,370,38,1920,1080
39,45,429.010825600009,20,25,1,2,1,p,3.25582279998343,4.48,6.805,medium,2.325,"[4, '1,1 km', '14 m2', 3, '0,2 km', '20 m2']",665,-11,858,-425,511,-325,234,-347,851,280,323,55,1920,1080
40,47,440.010579900001,6,18,1,2,1,q,7.77009290002752,7.645,7.945,hard,0.3,"[3, '0,1 km', '20 m2', 4, '0,65 km', '23 m2']",674,38,820,-393,542,-286,282,-359,842,231,275,42,1920,1080
41,49,451.009256700054,0,10,1,2,1,q,4.03444910002872,8.215,3.94,easy,4.275,"[4, '0,04 km', '18 m2', 3, '1,8 km', '20 m2']",661,-10,770,-398,534,-237,276,-309,802,261,274,-8,1920,1080
42,51,462.009535600082,6,18,1,2,1,q,3.98104919993784,7.645,7.945,hard,0.3,"[3, '0,1 km', '20 m2', 4, '0,65 km', '23 m2']",644,37,737,-360,498,-202,226,-304,800,311,302,34,1920,1080
43,52,473.009231999982,19,25,1,2,1,p,3.8461135000689,6.88,6.805,hard,0.0750000000000002,"[4, '0,7 km', '23 m2', 3, '0,2 km', '20 m2']",694,31,692,-337,453,-181,237,-353,843,336,252,28,1920,1080
44,54,484.009246299975,18,26,1,2,1,q,4.00721920002252,7.945,3.385,easy,4.56,"[4, '0,65 km', '23 m2', 5, '1,7 km', '30 m2']",645,39,732,-307,493,-211,211,-396,862,290,284,66,1920,1080
45,55,495.009143800009,14,18,1,2,1,q,3.98628790001385,6.67,7.945,medium,1.275,"[4, '0,05 km', '22 m2', 4, '0,65 km', '23 m2']",666,-6,727,-357,446,-227,183,-437,895,252,260,110,1920,1080
46,57,506.009221200016,9,22,1,2,1,p,4.54830100003164,4.03,6.415,medium,2.385,"[3, '1,3 km', '19 m2', 3, '0,25 km', '18 m2']",646,40,710,-404,427,-273,230,-453,896,302,226,147,1920,1080
47,59,517.00901160005,18,22,1,2,1,q,8.19322210003156,7.945,6.415,medium,1.53,"[4, '0,65 km', '23 m2', 3, '0,25 km', '18 m2']",689,65,699,-355,411,-226,279,-464,891,352,244,100,1920,1080
48,60,528.009230799973,19,25,1,2,1,p,4.25014480005484,6.88,6.805,hard,0.0750000000000002,"[4, '0,7 km', '23 m2', 3, '0,2 km', '20 m2']",714,22,712,-403,456,-205,229,-458,909,399,227,147,1920,1080
49,61,539.008946000016,9,24,1,2,1,q,6.3944587999722,4.03,2.755,medium,1.275,"[3, '1,3 km', '19 m2', 3, '3,3 km', '30 m2']",728,70,693,-449,501,-226,180,-451,870,368,238,98,1920,1080
50,62,550.009039700031,7,24,1,2,1,q,3.79325089999475,3.94,2.755,medium,1.185,"[3, '1,8 km', '18 m2', 3, '3,3 km', '30 m2']",699,111,723,-489,452,-215,138,-424,883,320,288,97,1920,1080
51,63,561.009149400052,23,26,1,2,1,p,4.91634529992007,3.79,3.385,hard,0.405,"[3, '1,5 km', '24 m2', 5, '1,7 km', '30 m2']",704,161,680,-464,466,-263,104,-461,862,366,328,67,1920,1080
52,64,572.008944400004,19,25,1,2,1,p,6.75449910003226,6.88,6.805,hard,0.0750000000000002,"[4, '0,7 km', '23 m2', 3, '0,2 km', '20 m2']",678,204,706,-421,420,-283,121,-414,907,344,298,27,1920,1080
53,65,583.008955999976,12,27,1,2,1,p,4.32130880001932,5.785,9.745,easy,3.96,"[3, '0,04 km', '21 m2', 5, '0,05 km', '30 m2']",693,156,745,-389,469,-275,75,-395,872,380,265,-10,1920,1080
54,66,594.00904220005,2,3,1,2,1,q,5.05414309992921,7.375,6.22,medium,1.155,"[4, '0,06 km', '23 m2', 3, '0,04 km', '18 m2']",709,109,740,-439,515,-256,52,-351,895,424,307,17,1920,1080
