Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00286120013333857,9,15,1,2,1,,NaN,5.2,7,medium,1.8,"[3, '1,3 km', '19 m2', 3, '0,45 km', '18 m2']",-263,454,-276,-50,-217,-325,-602,436,-620,-184,-857,-357,1920,1080
1,1,11.0091473001521,4,28,1,2,1,q,4.10371529986151,5.5,1.99,easy,3.51,"[3, '2,2 km', '17 m2', 2, '3,8 km', '18 m2']",-244,408,-324,-37,-254,-358,-642,405,-571,-195,-872,-309,1920,1080
2,2,22.008874699939,1,4,1,2,1,p,6.26195960002951,7.195,5.5,medium,1.695,"[4, '2,6 km', '17 m2', 3, '2,2 km', '17 m2']",-229,456,-274,-34,-293,-389,-595,389,-620,-202,-850,-354,1920,1080
3,3,33.0088500001002,0,17,1,2,1,q,4.9392909000162,14.895,9.22,easy,5.675,"[4, '0,04 km', '18 m2', 3, '0,1 km', '20 m2']",-276,438,-268,-84,-272,-344,-643,376,-571,-214,-843,-304,1920,1080
4,5,44.0092333999928,17,19,1,2,1,q,3.64456759998575,9.22,9.7,hard,0.48,"[3, '0,1 km', '20 m2', 4, '0,7 km', '23 m2']",-262,390,-286,-37,-273,-294,-675,337,-521,-219,-847,-254,1920,1080
5,6,55.0094087000471,25,26,1,2,1,p,5.47536309994757,8.5,8.47,hard,0.0299999999999994,"[3, '0,2 km', '20 m2', 5, '1,7 km', '30 m2']",-247,342,-286,13,-227,-274,-676,387,-519,-169,-844,-204,1920,1080
6,7,66.008987700101,6,8,1,2,1,q,6.97574459994212,8.71,7.705,medium,1.005,"[3, '0,1 km', '20 m2', 3, '1,1 km', '21 m2']",-297,346,-254,52,-263,-309,-627,376,-565,-150,-830,-252,1920,1080
7,8,77.0090447999537,4,20,1,2,1,p,5.79380680015311,5.5,8.245,easy,2.745,"[3, '2,2 km', '17 m2', 4, '1,1 km', '14 m2']",-331,309,-261,3,-216,-292,-623,326,-525,-180,-877,-234,1920,1080
8,9,88.0103213000111,20,25,1,2,1,p,4.94553499994799,8.245,8.5,hard,0.254999999999999,"[4, '1,1 km', '14 m2', 3, '0,2 km', '20 m2']",-310,355,-311,9,-195,-337,-574,334,-537,-132,-905,-193,1920,1080
9,10,99.0092832001392,16,18,1,2,1,p,4.00049939984456,9.46,8.98,hard,0.48,"[3, '0,02 km', '20 m2', 4, '0,65 km', '23 m2']",-328,402,-355,33,-200,-287,-586,285,-509,-174,-871,-229,1920,1080
10,11,110.009112,15,19,1,2,1,p,6.17580840014853,7,9.7,easy,2.7,"[3, '0,45 km', '18 m2', 4, '0,7 km', '23 m2']",-291,436,-310,55,-163,-321,-545,313,-463,-193,-826,-250,1920,1080
11,12,121.01050069998,22,23,1,2,1,q,5.24526680004783,7.39,7.72,hard,0.329999999999999,"[3, '0,25 km', '18 m2', 3, '1,5 km', '24 m2']",-315,480,-325,7,-196,-359,-594,302,-509,-212,-846,-296,1920,1080
12,13,132.010617200052,4,11,1,2,1,q,3.71208010008559,5.5,4.495,medium,1.005,"[3, '2,2 km', '17 m2', 3, '4,2 km', '19 m2']",-265,482,-307,-40,-147,-349,-642,287,-491,-259,-876,-256,1920,1080
13,15,143.010386500042,1,12,1,2,1,p,4.58241609996185,7.195,8.995,medium,1.8,"[4, '2,6 km', '17 m2', 3, '0,04 km', '21 m2']",-315,483,-315,9,-196,-340,-640,237,-530,-227,-890,-304,1920,1080
14,16,154.010501099983,1,5,1,2,1,p,4.34021460008807,7.195,10.485,easy,3.29,"[4, '2,6 km', '17 m2', 3, '1,6 km', '18 m2']",-353,450,-320,-41,-245,-351,-599,265,-580,-225,-843,-287,1920,1080
15,17,165.010617400054,9,10,1,2,1,q,5.05095839989372,5.2,6.97,medium,1.77,"[3, '1,3 km', '19 m2', 3, '1,8 km', '20 m2']",-395,477,-366,-20,-199,-372,-610,216,-532,-238,-797,-307,1920,1080
16,18,176.010890499921,16,20,1,2,1,q,4.95504910009913,9.46,8.245,medium,1.215,"[3, '0,02 km', '20 m2', 4, '1,1 km', '14 m2']",-444,488,-346,26,-193,-422,-654,241,-482,-233,-822,-264,1920,1080
