Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,1,0.00977350000175647,16,20,1,2,1,q,5.18401899999299,8.455,7.06,medium,1.395,"[3, '0,02 km', '20 m2', 4, '1,1 km', '14 m2']",862,11,611,-451,446,362,592,2,270,119,881,360,1920,1080
1,2,11.0076908999909,1,16,1,2,1,p,6.24204380001174,5.425,8.455,easy,3.03,"[4, '2,6 km', '17 m2', 3, '0,02 km', '20 m2']",853,60,645,-414,415,402,581,51,223,136,847,324,1920,1080
2,3,22.0075393000006,11,21,1,2,1,p,5.22710319999897,2.41,4.345,medium,1.935,"[3, '4,2 km', '19 m2', 3, '2,1 km', '18 m2']",857,110,657,-462,464,409,603,96,244,181,857,373,1920,1080
3,4,33.0074569999997,12,26,1,2,1,q,4.32638659999066,8.455,6.625,medium,1.83,"[3, '0,04 km', '21 m2', 5, '1,7 km', '30 m2']",811,91,653,-412,495,369,562,125,202,155,808,382,1920,1080
4,6,44.0059540999937,12,13,1,2,1,p,4.73493560000497,8.455,7.9,hard,0.555,"[3, '0,04 km', '21 m2', 4, '0,6 km', '20 m2']",797,43,700,-428,515,415,512,121,228,112,858,377,1920,1080
5,7,55.0061216999893,6,19,1,2,1,q,5.98859940000693,8.41,9.07,hard,0.66,"[3, '0,1 km', '20 m2', 4, '0,7 km', '23 m2']",847,40,731,-389,557,442,561,112,240,160,870,329,1920,1080
6,8,66.0060671999963,11,28,1,2,1,q,8.09255840000696,2.41,1.63,hard,0.78,"[3, '4,2 km', '19 m2', 2, '3,8 km', '18 m2']",881,3,768,-423,604,459,560,62,277,194,868,379,1920,1080
7,9,77.0073489999922,24,29,1,2,1,p,8.39341930000228,3.82,3.265,hard,0.555,"[3, '3,3 km', '30 m2', 2, '1,1 km', '23 m2']",896,51,718,-422,559,481,512,49,276,144,832,414,1920,1080
8,11,88.0074823999894,15,19,1,2,1,p,7.56726570001047,7.435,9.07,medium,1.635,"[3, '0,45 km', '18 m2', 4, '0,7 km', '23 m2']",879,98,669,-411,544,433,544,11,228,160,838,364,1920,1080
9,12,99.0071984999959,9,10,1,2,1,q,5.45446750000701,7.075,6.97,hard,0.105,"[3, '1,3 km', '19 m2', 3, '1,8 km', '20 m2']",881,148,680,-362,591,449,539,-39,241,208,855,411,1920,1080
10,14,110.006301100002,14,23,1,2,1,q,4.53252559999237,9.82,5.65,easy,4.17,"[4, '0,05 km', '22 m2', 3, '1,5 km', '24 m2']",855,106,630,-366,571,403,573,-76,287,188,845,460,1920,1080
11,15,121.00757039999,9,24,1,2,1,q,5.59812500000408,7.075,3.82,easy,3.255,"[3, '1,3 km', '19 m2', 3, '3,3 km', '30 m2']",855,156,678,-381,531,373,561,-124,309,143,890,438,1920,1080
12,16,132.007353299996,25,29,1,2,1,q,4.57837570000265,8.185,3.265,easy,4.92,"[3, '0,2 km', '20 m2', 2, '1,1 km', '23 m2']",807,171,697,-335,567,408,555,-74,346,177,840,444,1920,1080
