Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,1,0.0109232999384403,11,29,1,2,1,p,7.93998729996383,1.645,5.905,easy,4.26,"[3, '4,2 km', '19 m2', 2, '1,1 km', '23 m2']",-524,484,-857,-320,-826,238,-250,-71,-389,-297,-537,209,1920,1080
1,2,11.0090634999797,1,17,1,2,1,p,4.63002859987319,2.62,8.665,easy,6.045,"[4, '2,6 km', '17 m2', 3, '0,1 km', '20 m2']",-539,436,-807,-323,-876,234,-279,-30,-406,-344,-491,190,1920,1080
2,3,22.0093700997531,3,18,1,2,1,p,7.64089350029826,11.82,6.43,easy,5.39,"[3, '0,04 km', '18 m2', 4, '0,65 km', '23 m2']",-537,486,-768,-355,-837,265,-305,-73,-448,-371,-443,204,1920,1080
3,4,33.0090649998747,9,22,1,2,1,p,6.52700449991971,5.17,8.17,medium,3,"[3, '1,3 km', '19 m2', 3, '0,25 km', '18 m2']",-490,469,-775,-404,-794,239,-255,-71,-448,-321,-477,167,1920,1080
4,5,44.0090105999261,13,17,1,2,1,p,6.15698650013655,8.92,8.665,hard,0.255000000000001,"[4, '0,6 km', '20 m2', 3, '0,1 km', '20 m2']",-444,448,-756,-450,-843,250,-297,-44,-496,-309,-519,194,1920,1080
5,7,55.0104825999588,1,25,1,2,1,p,4.09379749977961,2.62,9.01,easy,6.39,"[4, '2,6 km', '17 m2', 3, '0,2 km', '20 m2']",-396,435,-760,-400,-793,256,-247,-44,-515,-263,-470,187,1920,1080
6,8,66.0105196000077,12,19,1,2,1,p,6.33346599992365,9.34,7.915,hard,1.425,"[3, '0,04 km', '21 m2', 4, '0,7 km', '23 m2']",-419,479,-780,-354,-838,278,-273,-87,-466,-256,-436,224,1920,1080
7,9,77.0105093996972,0,16,1,2,1,q,5.79145679995418,9.325,9.61,hard,0.285,"[4, '0,04 km', '18 m2', 3, '0,02 km', '20 m2']",-426,430,-739,-382,-879,306,-312,-118,-515,-268,-427,175,1920,1080
8,10,88.0103706000373,9,15,1,2,1,p,3.73269109986723,5.17,7.705,medium,2.535,"[3, '1,3 km', '19 m2', 3, '0,45 km', '18 m2']",-388,463,-786,-364,-839,276,-264,-105,-525,-219,-413,127,1920,1080
9,12,99.0105129997246,25,26,1,2,1,q,5.15352889988571,9.01,5.605,medium,3.405,"[3, '0,2 km', '20 m2', 5, '1,7 km', '30 m2']",-432,486,-829,-339,-870,315,-222,-132,-544,-173,-439,85,1920,1080
10,13,110.010553999804,5,24,1,2,1,q,5.04243199992925,4.27,2.095,medium,2.175,"[3, '1,6 km', '18 m2', 3, '3,3 km', '30 m2']",-476,462,-868,-371,-881,266,-272,-132,-531,-221,-413,128,1920,1080
11,14,121.008932800032,1,21,1,2,1,p,7.0480807996355,2.62,3.1,hard,0.479999999999999,"[4, '2,6 km', '17 m2', 3, '2,1 km', '18 m2']",-521,483,-909,-342,-836,288,-241,-93,-575,-198,-427,176,1920,1080
12,15,132.009033199865,11,21,1,2,1,p,4.3039275999181,1.645,3.1,hard,1.455,"[3, '4,2 km', '19 m2', 3, '2,1 km', '18 m2']",-571,479,-871,-375,-886,293,-262,-48,-620,-219,-464,142,1920,1080
13,16,143.008831099607,0,9,1,2,1,q,7.43722180044279,9.325,5.17,easy,4.155,"[4, '0,04 km', '18 m2', 3, '1,3 km', '19 m2']",-605,442,-909,-342,-837,283,-304,-75,-654,-183,-428,177,1920,1080
14,17,154.009021699894,3,29,1,2,1,q,5.26196809997782,11.82,5.905,easy,5.915,"[3, '0,04 km', '18 m2', 2, '1,1 km', '23 m2']",-651,462,-860,-353,-882,261,-257,-93,-665,-134,-477,186,1920,1080
15,18,165.00912249973,14,29,1,2,1,q,4.37765290029347,9.16,5.905,medium,3.255,"[4, '0,05 km', '22 m2', 2, '1,1 km', '23 m2']",-607,438,-905,-374,-875,311,-274,-140,-699,-97,-427,187,1920,1080
16,19,176.009100500029,17,26,1,2,1,q,8.10800519958138,8.665,5.605,medium,3.06,"[3, '0,1 km', '20 m2', 5, '1,7 km', '30 m2']",-570,404,-856,-362,-851,355,-235,-108,-711,-146,-377,181,1920,1080
17,20,187.008897299878,19,23,1,2,1,q,7.23615969996899,7.915,4.6,medium,3.315,"[4, '0,7 km', '23 m2', 3, '1,5 km', '24 m2']",-580,355,-870,-410,-845,405,-261,-151,-703,-97,-352,138,1920,1080
18,21,198.009002799634,25,26,1,2,1,q,8.02199260005727,9.01,5.605,medium,3.405,"[3, '0,2 km', '20 m2', 5, '1,7 km', '30 m2']",-626,336,-845,-453,-886,377,-310,-158,-702,-147,-365,90,1920,1080
19,22,209.008855999913,17,19,1,2,1,p,9.49226710014045,8.665,7.915,hard,0.749999999999999,"[3, '0,1 km', '20 m2', 4, '0,7 km', '23 m2']",-576,339,-808,-486,-888,327,-326,-205,-670,-185,-368,140,1920,1080
20,23,220.008967099711,4,28,1,2,1,q,8.14301649993286,3.58,2.095,hard,1.485,"[3, '2,2 km', '17 m2', 2, '3,8 km', '18 m2']",-536,308,-852,-462,-889,377,-370,-229,-704,-148,-323,118,1920,1080
21,24,231.0103219999,1,23,1,2,1,p,5.53383200010285,2.62,4.6,medium,1.98,"[4, '2,6 km', '17 m2', 3, '1,5 km', '24 m2']",-568,269,-827,-419,-860,337,-392,-184,-656,-162,-278,140,1920,1080
22,25,242.010448100045,17,24,1,2,1,q,4.96967969974503,8.665,2.095,easy,6.57,"[3, '0,1 km', '20 m2', 3, '3,3 km', '30 m2']",-593,226,-858,-458,-821,368,-345,-166,-651,-212,-327,150,1920,1080
23,26,253.010354799684,12,27,1,2,1,p,4.98254960030317,9.34,9.505,hard,0.164999999999999,"[3, '0,04 km', '21 m2', 5, '0,05 km', '30 m2']",-630,260,-813,-436,-843,413,-314,-127,-601,-219,-377,147,1920,1080
24,27,264.010452899616,16,26,1,2,1,q,3.83255890011787,9.61,5.605,easy,4.005,"[3, '0,02 km', '20 m2', 5, '1,7 km', '30 m2']",-676,280,-796,-483,-861,460,-281,-164,-602,-169,-427,144,1920,1080
25,28,275.010605899617,10,24,1,2,1,q,5.06150450045243,3.805,2.095,medium,1.71,"[3, '1,8 km', '20 m2', 3, '3,3 km', '30 m2']",-714,248,-846,-477,-904,435,-293,-115,-627,-126,-473,163,1920,1080
26,29,286.010552799795,9,26,1,2,1,p,6.09073439985514,5.17,5.605,hard,0.435,"[3, '1,3 km', '19 m2', 5, '1,7 km', '30 m2']",-721,198,-796,-474,-866,403,-256,-81,-607,-80,-437,197,1920,1080
27,30,297.010615599807,3,27,1,2,1,p,4.11952139995992,11.82,9.505,medium,2.315,"[3, '0,04 km', '18 m2', 5, '0,05 km', '30 m2']",-719,148,-839,-448,-828,436,-280,-125,-591,-127,-463,154,1920,1080
28,32,308.010460599791,11,20,1,2,1,p,3.88951600017026,1.645,5.11,easy,3.465,"[3, '4,2 km', '19 m2', 4, '1,1 km', '14 m2']",-762,123,-833,-398,-782,417,-328,-112,-632,-98,-507,178,1920,1080
29,33,319.008876400068,10,15,1,2,1,p,5.87109429994598,3.805,7.705,easy,3.9,"[3, '1,8 km', '20 m2', 3, '0,45 km', '18 m2']",-811,114,-796,-364,-814,379,-340,-63,-600,-137,-528,133,1920,1080
30,34,330.009440999944,7,24,1,2,1,q,3.80162520008162,3.97,2.095,medium,1.875,"[3, '1,8 km', '18 m2', 3, '3,3 km', '30 m2']",-856,93,-846,-358,-780,342,-347,-14,-558,-164,-563,169,1920,1080
