Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00198099995031953,0,16,1,2,1,,NaN,8.425,9.595,medium,1.17,"[4, '0,04 km', '18 m2', 3, '0,02 km', '20 m2']",276,-57,311,441,626,143,503,-381,907,142,764,455,1920,1080
1,1,11.0106607999187,10,22,1,2,1,q,7.217600199976,7.48,5.875,medium,1.605,"[3, '1,8 km', '20 m2', 3, '0,25 km', '18 m2']",316,-27,355,417,599,185,519,-428,857,140,805,426,1920,1080
2,2,22.0090649999911,15,18,1,2,1,p,7.91010199999437,7.315,9.04,medium,1.725,"[3, '0,45 km', '18 m2', 4, '0,65 km', '23 m2']",283,-65,375,371,593,235,501,-381,869,188,805,476,1920,1080
3,3,33.0088156999554,5,26,1,2,1,p,5.35046029998921,6.115,8.995,easy,2.88,"[3, '1,6 km', '18 m2', 5, '1,7 km', '30 m2']",283,-115,339,337,638,212,462,-349,887,141,765,446,1920,1080
4,4,44.0088298999472,14,19,1,2,1,q,9.17860530002508,9.58,8.815,medium,0.765000000000001,"[4, '0,05 km', '22 m2', 4, '0,7 km', '23 m2']",252,-154,366,379,617,167,485,-394,906,187,765,396,1920,1080
5,5,55.0091844999697,0,19,1,2,1,q,10.0312738999492,8.425,8.815,hard,0.390000000000001,"[4, '0,04 km', '18 m2', 4, '0,7 km', '23 m2']",225,-196,320,359,573,191,448,-361,862,164,722,421,1920,1080
6,6,66.008955999976,14,24,1,2,1,q,9.92136239993852,9.58,6.64,easy,2.94,"[4, '0,05 km', '22 m2', 3, '3,3 km', '30 m2']",262,-162,315,409,526,173,479,-322,880,117,730,372,1920,1080
7,7,77.0090043999953,18,22,1,2,1,q,7.82037209998816,9.04,5.875,easy,3.165,"[4, '0,65 km', '23 m2', 3, '0,25 km', '18 m2']",275,-210,334,455,540,221,485,-372,908,75,742,421,1920,1080
8,8,88.0103816000046,6,8,1,2,1,p,8.87499369995203,5.92,7.975,easy,2.055,"[3, '0,1 km', '20 m2', 3, '1,1 km', '21 m2']",256,-256,373,486,525,173,523,-404,860,88,730,373,1920,1080
9,9,99.0105995999184,16,24,1,2,1,p,5.37486830004491,9.595,6.64,easy,2.955,"[3, '0,02 km', '20 m2', 3, '3,3 km', '30 m2']",281,-213,370,436,546,128,488,-440,835,45,775,394,1920,1080
10,10,110.0103831999,8,20,1,2,1,q,6.67914850008674,7.975,6.37,medium,1.605,"[3, '1,1 km', '21 m2', 4, '1,1 km', '14 m2']",253,-172,334,471,596,125,535,-457,884,55,825,389,1920,1080
