Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00305800000205636,0,8,1,2,1,q,10.9473044999177,7.885,4.615,easy,3.27,"[4, '0,04 km', '18 m2', 3, '1,1 km', '21 m2']",65,257,42,-436,513,-33,216,-243,846,-71,774,484,1920,1080
1,1,11.0109113999642,25,29,1,2,1,q,6.51934969995636,5.575,2.08,easy,3.495,"[3, '0,2 km', '20 m2', 2, '1,1 km', '23 m2']",113,243,-6,-450,517,17,219,-193,879,-109,822,472,1920,1080
2,2,22.0103620999725,15,23,1,2,1,,NaN,4.375,4.24,hard,0.135,"[3, '0,45 km', '18 m2', 3, '1,5 km', '24 m2']",70,268,41,-434,469,29,248,-234,880,-159,774,486,1920,1080
3,3,33.0089426999912,6,20,1,2,1,q,8.73226469999645,6.13,5.56,hard,0.569999999999999,"[3, '0,1 km', '20 m2', 4, '1,1 km', '14 m2']",53,315,-5,-414,459,-20,226,-189,871,-208,735,455,1920,1080
4,4,44.0092663998948,5,20,1,2,1,p,9.80621590011287,3.385,5.56,medium,2.175,"[3, '1,6 km', '18 m2', 4, '1,1 km', '14 m2']",83,355,-53,-429,448,29,267,-217,842,-167,728,405,1920,1080
5,5,55.0087733999826,12,16,1,2,1,,NaN,5.065,3.91,medium,1.155,"[3, '0,04 km', '21 m2', 3, '0,02 km', '20 m2']",70,307,-10,-454,401,12,301,-253,793,-159,777,412,1920,1080
6,6,66.0089847999625,3,18,1,2,1,p,6.60812099999748,3.28,6.955,easy,3.675,"[3, '0,04 km', '18 m2', 4, '0,65 km', '23 m2']",41,267,-46,-488,378,57,307,-303,841,-144,805,453,1920,1080
7,7,77.0087100999663,0,6,1,2,1,p,8.89353859995026,7.885,6.13,medium,1.755,"[4, '0,04 km', '18 m2', 3, '0,1 km', '20 m2']",68,309,-95,-480,384,7,314,-254,852,-95,755,454,1920,1080
8,8,88.008974700002,11,22,1,2,1,p,5.8685131999664,2.485,4.09,medium,1.605,"[3, '4,2 km', '19 m2', 3, '0,25 km', '18 m2']",54,261,-144,-470,356,-34,334,-300,818,-58,731,410,1920,1080
9,9,99.0090277999407,13,15,1,2,1,q,6.59518820000812,6.31,4.375,medium,1.935,"[4, '0,6 km', '20 m2', 3, '0,45 km', '18 m2']",101,245,-95,-482,406,-31,289,-278,844,-15,753,365,1920,1080
10,10,110.009226099937,1,11,1,2,1,q,6.68603049998637,5.56,2.485,easy,3.075,"[4, '2,6 km', '17 m2', 3, '4,2 km', '19 m2']",148,228,-62,-444,388,-77,251,-310,894,-12,712,337,1920,1080
