Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,1,0.0109329000115395,9,23,1,2,1,p,7.96378009999171,5.905,6.055,hard,0.15,"[3, '1,3 km', '19 m2', 3, '1,5 km', '24 m2']",-756,-319,-381,63,-242,-173,-137,-490,-830,213,-543,-184,1920,1080
1,2,11.0106313000433,0,2,1,2,1,p,7.38616390014067,9.355,8.485,hard,0.870000000000001,"[4, '0,04 km', '18 m2', 4, '0,06 km', '23 m2']",-772,-366,-344,30,-266,-217,-187,-488,-802,254,-540,-134,1920,1080
2,3,22.0103245000355,2,3,1,2,1,q,8.23248280026019,8.485,7.6,hard,0.885,"[4, '0,06 km', '23 m2', 3, '0,04 km', '18 m2']",-797,-323,-354,79,-218,-231,-237,-487,-771,215,-490,-140,1920,1080
3,4,33.0105417999439,17,20,1,2,1,q,5.74617730034515,6.865,5.035,medium,1.83,"[3, '0,1 km', '20 m2', 4, '1,1 km', '14 m2']",-751,-304,-339,31,-200,-184,-248,-438,-721,217,-479,-189,1920,1080
4,5,44.0092458999716,11,28,1,2,1,p,8.06058190017939,6.22,3.76,easy,2.46,"[3, '4,2 km', '19 m2', 2, '3,8 km', '18 m2']",-799,-289,-346,80,-224,-228,-281,-476,-692,177,-513,-152,1920,1080
5,6,55.009182699956,13,15,1,2,1,q,7.82575080031529,8.635,6.55,easy,2.085,"[4, '0,6 km', '20 m2', 3, '0,45 km', '18 m2']",-804,-239,-336,31,-182,-256,-328,-459,-645,159,-562,-164,1920,1080
6,7,66.0092747998424,5,11,1,2,1,q,6.37959960009903,6.49,6.22,hard,0.27,"[3, '1,6 km', '18 m2', 3, '4,2 km', '19 m2']",-767,-272,-290,51,-180,-206,-374,-439,-644,109,-512,-163,1920,1080
7,8,77.0090532000177,5,24,1,2,1,q,7.2646730998531,6.49,5.92,hard,0.57,"[3, '1,6 km', '18 m2', 3, '3,3 km', '30 m2']",-798,-233,-242,67,-227,-222,-355,-485,-685,80,-545,-200,1920,1080
8,9,88.0088948002085,1,7,1,2,1,p,8.20323689980432,7.855,6.475,medium,1.38,"[4, '2,6 km', '17 m2', 3, '1,8 km', '18 m2']",-843,-254,-289,85,-272,-200,-380,-442,-648,114,-578,-163,1920,1080
9,10,99.0090974001214,1,28,1,2,1,q,7.47981170006096,7.855,3.76,easy,4.095,"[4, '2,6 km', '17 m2', 2, '3,8 km', '18 m2']",-877,-291,-315,128,-240,-161,-409,-483,-625,70,-554,-207,1920,1080
10,11,110.009116600268,13,15,1,2,1,q,8.26056399988011,8.635,6.55,easy,2.085,"[4, '0,6 km', '20 m2', 3, '0,45 km', '18 m2']",-872,-341,-347,166,-255,-113,-459,-482,-672,54,-570,-254,1920,1080
11,12,121.009131200146,14,18,1,2,1,q,7.5947946999222,8.305,8.2,hard,0.105,"[4, '0,05 km', '22 m2', 4, '0,65 km', '23 m2']",-833,-372,-306,137,-293,-146,-422,-448,-623,44,-556,-206,1920,1080
12,13,132.009214300197,2,24,1,2,1,q,5.60238659987226,8.485,5.92,easy,2.565,"[4, '0,06 km', '23 m2', 3, '3,3 km', '30 m2']",-877,-395,-320,89,-265,-187,-453,-487,-660,77,-606,-209,1920,1080
13,14,143.008966099936,12,14,1,2,1,p,8.02573410002515,7.105,8.305,medium,1.2,"[3, '0,04 km', '21 m2', 4, '0,05 km', '22 m2']",-909,-433,-270,93,-306,-159,-498,-466,-709,86,-595,-160,1920,1080
14,15,154.008968600072,6,8,1,2,1,q,6.11414999980479,6.67,6.94,hard,0.270000000000001,"[3, '0,1 km', '20 m2', 3, '1,1 km', '21 m2']",-859,-437,-275,143,-256,-155,-548,-466,-690,132,-555,-130,1920,1080
15,16,165.009145400021,21,24,1,2,1,p,7.86867640027776,5.905,5.92,hard,0.0150000000000006,"[3, '2,1 km', '18 m2', 3, '3,3 km', '30 m2']",-904,-416,-284,192,-252,-205,-502,-446,-686,182,-505,-129,1920,1080
16,17,176.009281599894,9,10,1,2,1,q,6.08465750003234,5.905,6.88,medium,0.975000000000001,"[3, '1,3 km', '19 m2', 3, '1,8 km', '20 m2']",-858,-397,-283,242,-294,-178,-551,-438,-736,180,-553,-117,1920,1080
17,18,187.009105100296,18,22,1,2,1,q,7.54564819997177,8.2,7,medium,1.2,"[4, '0,65 km', '23 m2', 3, '0,25 km', '18 m2']",-892,-434,-251,281,-253,-149,-541,-487,-702,217,-536,-164,1920,1080
18,19,198.009501600172,1,21,1,2,1,p,6.05433949967846,7.855,5.905,easy,1.95,"[4, '2,6 km', '17 m2', 3, '2,1 km', '18 m2']",-857,-398,-296,260,-271,-195,-524,-440,-751,228,-535,-114,1920,1080
19,20,209.010646500159,4,29,1,2,1,p,7.71523569989949,6.295,4.705,medium,1.59,"[3, '2,2 km', '17 m2', 2, '1,1 km', '23 m2']",-906,-388,-299,310,-280,-244,-541,-487,-797,208,-539,-164,1920,1080
20,21,220.010696300305,16,19,1,2,1,q,6.24104899959639,7.57,8.485,hard,0.914999999999999,"[3, '0,02 km', '20 m2', 4, '0,7 km', '23 m2']",-858,-402,-250,319,-232,-230,-554,-439,-815,161,-497,-192,1920,1080
21,22,231.0103635001,9,23,1,2,1,p,6.04934970010072,5.905,6.055,hard,0.15,"[3, '1,3 km', '19 m2', 3, '1,5 km', '24 m2']",-904,-382,-279,279,-185,-214,-585,-400,-772,186,-483,-144,1920,1080
22,23,242.010364999995,2,23,1,2,1,q,5.3694837000221,8.485,6.055,easy,2.43,"[4, '0,06 km', '23 m2', 3, '1,5 km', '24 m2']",-877,-424,-254,236,-184,-264,-547,-433,-740,224,-434,-135,1920,1080
