Item,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63
11,8.02,4.93,6.385,7.645,7.555,5.08,4.48,7.045,4.795,5.185,4.765,3.745,5.755,7.105,5.56,5.8,6.82,7.645,6.46,4.45,5.545,4.705,9.615,7.75,5.785,4.96,4.465,7.075,5.47,7.66,3.43,6.76,7.81,6.61,4.99,4.69,8.925,4.525,8.5,4.735,8.47,4.615,6.1,3.43,6.355,5.125,4.225,5.44,4.99,5.62,6.375,7.57,9.325,6.88,7.24,7.255,3.01,7.03,5.59,6.94,4.6,7.03,6.445
12,8.995,5.41,5.98,5.455,7.945,3.775,5.905,8.02,4.99,7.315,3.775,4.945,6.325,6.985,4.33,6.025,7.6,12.12,7.555,5.005,6.97,3.325,6.58,8.53,7.015,4.18,4.615,8.275,5.35,7.585,5.38,7.675,7.18,7.345,6.385,7.12,6.91,4.825,8.5,4.18,8.77,5.905,6.55,3.355,7.255,5.335,4.855,4.66,6.565,7,6.4,7.585,9.265,7.54,7.195,8.425,5.425,5.425,5.95,7.135,5.275,7.465,6.64
13,2.8,2.725,3.52,5.08,4.405,2.755,3.01,4.195,1.03,3.22,4.21,2.545,12.66,4.36,4.765,5.23,5.275,3.19,4.99,1.36,6.205,6.18,4.99,7.31,6.325,3.01,1.975,3.355,1.96,3.07,4.18,5.275,5.62,1.915,3.535,2.23,2.35,2.275,7.495,1.135,4.135,3.805,3.685,2.56,3.805,2.83,3.505,2.305,3.445,4.09,3.5,4.33,3.235,2.455,4.93,2.53,3.67,5.545,2.125,2.47,3.625,6.97,4.63
14,9.82,6.49,7.72,8.38,8.965,3.76,6.49,17.57,5.125,8.14,4.495,5.05,7.15,6.835,7.15,9.01,9.535,9.43,8.38,7.675,6.865,2.815,8.71,9.22,7.21,6.58,8.86,9.295,5.965,8.365,5.29,6.94,8.32,8.365,6.745,8.62,8.095,6.055,9.505,4.6,9.7,4.555,8.485,4.315,8.275,11.31,7.885,6.88,5.32,8.05,7.405,7.765,9.31,7.51,8.455,9.16,7.03,8.44,6.16,8.02,9.01,6.145,8.365
15,9.055,7.36,5.815,8.41,7.12,3.61,5.86,6.67,4.015,6.265,4.72,5.065,6.88,6.535,5.035,5.755,8.365,7.435,8.02,3.4,6.565,2.545,10.605,8.155,7.36,5.635,4.645,8.635,5.56,7.03,4.93,6.88,7.285,7.45,6.505,7.39,10.56,5.605,8.995,3.565,8.74,5.605,5.575,3.37,6.475,4.795,3.355,5.56,4.675,6.595,4.75,8.215,9.535,7.63,7.96,8.455,6.445,6.04,6.19,5.86,5.26,7.015,5.29
16,7.975,3.46,6.175,5.995,6.955,2.83,4.87,5.305,4.705,6.94,3.31,4.705,5.59,5.665,4.6,11.835,7.84,8.71,7.285,3.835,8.635,2.83,7.195,8.575,5.86,4.315,4.33,7,4.885,6.865,4.36,7.12,7.36,6.28,6.715,6.37,6.055,4.255,7.99,2.59,8.935,4.075,6.61,2.515,7.105,4.96,4.945,4.615,5.5,5.65,5.485,6.385,9.01,5.77,5.8,7.93,6.46,7.315,4.57,5.485,6.58,7.03,8.41
17,8.485,6.7,5.92,6.64,6.4,5.62,4.945,7.75,4.96,8.125,4,5.065,7.135,6.76,6.22,7.03,8.05,7.255,7.255,4.255,6.52,2.695,6.94,8.86,6.13,4.645,5.335,5.995,5.98,7.36,4.555,6.67,7.96,6.655,5.65,7.27,6.07,5.245,8.53,4.54,8.635,5.275,6.985,2.8,6.325,5.905,4.66,5.515,5.665,5.605,5.68,6.28,9.415,7.39,7.75,8.605,6.025,7.075,5.44,7.465,4.255,7.09,7.465
18,5.68,2.665,5.65,7.555,5.695,3.205,3.265,5.41,2.59,6.985,4.885,1.735,5.995,6.43,5.44,5.005,5.98,4.525,6.52,2.485,5.74,4.105,8.715,7.525,6.205,3.88,4.45,4.03,4.96,5.965,4.03,3.55,5.035,6.16,4.39,4.72,3.07,4.465,8.515,2.65,6.4,4.045,5.56,3.115,5.23,4.645,3.58,4.12,4.42,4.75,5.87,6.19,8.035,3.775,5.83,6.205,3.61,3.61,3.85,4.48,4.285,7.165,4.9
19,8.065,6.43,6.085,6.88,7.21,3.325,5.38,7.765,4.375,7.195,3.94,4.99,5.575,6.58,6.55,7.03,7.18,8.545,7.435,5.305,8.26,2.5,7.375,8.785,6.67,5.155,5.44,7.045,5.74,7.87,5.53,7.09,5.74,6.985,11.1,6.835,12.71,4.99,8.965,4.6,9.16,6.475,7.135,3.55,5.635,3.865,4.435,5.485,4.765,6.43,5.815,6.325,9.13,6.925,6.205,8.38,7.165,7.03,6.145,6.46,6.91,7.825,6.775
20,7.87,3.685,6.325,6.415,6.76,3.355,5.695,7.165,4.33,7.225,4.585,7.485,5.815,5.71,4.885,5.35,6.355,7.63,6.355,4.105,7.39,5.865,14.36,8.41,7.3,4.225,4.75,6.04,4.885,6.325,3.97,7.825,4.66,6.1,5.635,6.25,5.35,5.29,8.98,3.505,8.005,4.42,6.61,4.765,6.385,5.305,4.57,5.14,5.035,6.595,5.23,7.54,9.07,6.145,7.285,8.17,6.595,7.06,5.11,7.435,5.23,7.03,5.71
21,7.825,2.635,5.695,7.75,7.54,3.205,4.51,6.79,2.86,6.475,4.48,3.55,4.975,6.49,5.575,6.79,8.065,8.02,6.655,2.86,4.735,3.97,7.555,8.32,6.325,4.105,3.64,4.99,4.81,6.655,4.99,6.025,5.53,7.195,5.305,5.23,9.18,4.285,8.995,3.415,7.675,4,4.675,3.625,7.09,4.48,4.495,4.855,4.195,5.875,4.945,6.73,13.98,5.8,6.895,7.96,5.32,6.925,5.965,5.53,5.185,7.48,6.28
22,8.215,4.165,6.43,8.56,5.785,3.64,4.24,6.61,4.765,6.79,4.315,4.24,5.845,6.4,6.745,6.685,7.075,12.615,6.505,5.905,6.79,3.43,6.64,8.23,5.71,5.065,4.78,6.37,4.93,7.09,4.78,6.235,7.045,6.34,5.995,4.225,5.17,4.465,8.995,4.045,8.14,4.435,6.085,3.925,7.315,4.78,4.105,4.96,4.45,4.915,5.77,7.165,8.86,6.55,7.015,7.375,5.185,6.355,5.56,4.465,4.18,6.565,7.3
23,7,3.835,5.785,7.81,6.85,3.52,5.065,6.19,4.51,8.515,3.7,4.015,4.18,7.18,4.9,6.385,7.585,11.985,6.655,4.645,11.505,4.135,7.99,7.495,6.19,5.935,3.22,4.96,4.585,6.985,4.405,7.24,6.235,6.175,6.205,5.44,4.105,5.185,8.98,3.76,7.885,5.41,6.115,4.18,7.345,4.81,3.445,5.155,3.97,6.34,5.835,6.34,8.62,5.02,6.07,7.12,4.09,6.295,4.315,6.4,3.445,6.79,6.37
24,4,7.99,5.155,7.285,7.51,6.745,7.78,8.275,5.455,4.435,4.855,7.99,7.6,7.24,6.19,8.155,3.94,4.315,5.125,2.47,5.44,9.58,6.31,4.75,7.15,5.86,2.575,5.665,3.94,5.86,7.45,8.245,7.615,2.695,7.375,1.6,5.935,6.52,8.995,4.81,7.615,7.24,3.28,8.92,7.39,2.86,2.62,4.93,9.235,3.7,5.275,5.425,6.49,6.715,7.165,6.055,9.04,5.65,6.58,5.86,3.25,7.285,5.41
25,9.49,6.7,9.235,8.155,8.545,3.76,5.215,9.295,4.75,9.085,3.775,5.005,5.65,7.675,7.03,8.65,9.37,9.76,8.875,7.21,8.98,3.025,13.47,9.265,7.735,6.94,9.01,8.905,6.655,8.335,5.185,7.63,7.36,8.545,6.49,7.675,7.435,7.255,9.235,4.21,9.625,5.815,7.63,4.315,9.22,7.765,8.155,7.15,6.22,8.335,10.845,8.02,9.595,7.405,8.695,8.89,7.075,7.315,6.895,8.95,6.055,8.155,7.975
26,9.265,4.93,7.66,8.59,8.305,4.75,3.865,7.735,4.12,8.02,3.94,3.535,5.95,7.06,5.875,3.505,9.13,9.07,8.38,5.875,7.72,5.415,8.35,9.01,5.71,7.72,7.99,7.135,5.335,8.185,3.76,7.54,6.685,8.32,7.27,5.98,6.895,4.825,8.98,5.935,9.52,5.365,6.4,4,7.63,7.495,7.405,5.44,5.365,7.99,5.32,7.705,9.43,5.545,7.885,7.87,7.03,7.765,7.255,6.505,5.695,8.41,7.675
27,2.53,3.775,3.25,6.25,5.44,3.745,3.925,5.485,3.445,3.055,3.265,3.985,2.53,5.485,3.91,6.355,5.065,5.98,5.05,1.945,6.475,7.82,5.98,4.135,4.675,4.015,2.305,3.025,4.105,4.06,4.03,7.375,4.9,2.53,5.29,2.095,6.12,2.74,8.5,2.215,4.885,4.435,3.865,3.925,4.975,3.925,3.055,3.055,5.095,3.4,4.09,4.045,5.26,4.45,6.25,5.05,6.55,4.15,2.89,4.075,3.025,5.785,8.05
28,9.52,6.085,7.33,7.96,9.145,4.825,6.61,9.97,5.695,7.42,4.99,5.965,6.745,7.315,6.04,7.54,8.35,9.925,8.875,6.73,9.4,6.555,8.965,9.37,7.42,8.305,9.7,8.68,6.28,8.605,6.145,7.255,8.305,8.935,7.705,8.71,16.535,6.655,9.685,6.13,9.865,6.37,7.135,4.465,9.82,7.135,8.515,7.51,6.715,8.095,29.03,8.185,9.73,8.53,8.89,9.355,6.835,7,6.61,9.46,7.315,7.975,6.88
29,2.005,1.255,1.885,5.065,2.425,2.935,1.72,3.28,1.51,1.54,3.445,1.06,3.085,2.8,3.76,4.93,3.025,1.345,2.845,1.09,1.045,4,2.98,3.955,4.27,2.575,1.96,1.255,1.705,2.755,3.835,2.95,3.37,1.195,2.365,1.12,1.09,1.525,4.51,1.06,3.505,2.11,1.36,3.64,4.585,2.965,1.75,1.24,4.45,2.88,1.585,3.61,5.2,2.65,4.915,1.48,3.085,1.09,1.975,1.705,2.2,4.78,2.245
