Item,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63
11,3.505,6.01,3.085,1.27,2.005,1.825,5.335,2.47,4.795,3.46,3.235,2.125,3.13,3.985,2.065,3.505,2.8,2.275,2.38,1.645,1.255,4.51,3.37,5.5,5.02,5.65,6.22,1.3,1.6,4.45,3.475,2.185,4.285,2.83,1.99,2.65,4.54,2.53,4.495,1.93,4.285,3.91,3.52,5.56,7.18,2.485,2.125,5.08,4.66,2.05,3.115,4.045,5.275,1.45,2.935,2.05,4.06,4.885,1.825,1.42,4.96,2.41,4.09
12,9.775,9.43,5.395,6.16,4.465,7.735,8.62,5.035,8.095,9.715,8.965,7.135,7.96,5.23,4.84,5.125,7.765,13.71,7.87,9.34,12.585,7.195,6.085,6.145,6.73,6.745,7.105,5.14,4.57,5.965,3.37,7.39,8.275,7.84,7.405,9.505,15.575,5.545,8.995,8.425,5.59,8.38,8.575,5.95,6.31,5.065,5.785,7.27,6.64,8.44,8.32,6.685,9.1,7.885,6.295,7.255,6.01,7.51,9.565,9.46,8.425,8.455,9.595
13,10,8.71,6.82,8.995,7.12,7.885,9.25,9.13,9.805,9.775,8.26,8.53,9.265,8.11,7.21,7.18,7.84,8.17,8.245,8.92,8.92,8.815,7,8.455,7.105,8.95,8.635,8.485,5.59,8.425,6.91,8.185,8.905,8.92,5.995,9.295,8.74,8.44,9.04,8.32,8.275,9.205,9.22,9.025,7.705,6.31,5.59,8.845,8.62,9.025,4.93,9.1,8.785,8.83,6.025,7.99,8.77,9.31,9.415,9.925,8.605,7.9,8.635
14,9.835,9.58,7.315,9.295,7.825,8.605,14.265,8.515,9.61,9.79,9.49,9.085,9.325,8.71,8.455,7.045,9.295,14.76,9.07,9.16,9.46,9.325,8.98,8.545,8.14,9.115,8.305,9.355,7.9,8.59,6.73,9.76,9.535,9.115,7.81,10,13.59,9.265,9.715,9.475,8.395,9.22,9.28,8.74,8.59,7.945,6.67,8.56,8.89,8.785,8.575,7.45,9.595,9.385,7.39,8.95,9.1,9.205,9.535,10,8.875,9.82,9.715
15,8.98,7.315,4.945,5.14,2.665,5.785,8.5,6.025,7.75,8.8,6.49,6.865,7.825,5.05,4.96,4.165,5.89,5.98,7.045,7.705,8.05,6.325,4.975,6.31,6.505,5.725,6.55,3.985,2.65,5.83,3.715,6.055,7.435,6.175,4.855,8.08,10.26,3.505,7,7.42,5.365,6.22,7.24,7,5.95,4.375,6.13,6.43,4.81,7.975,12.13,5.92,8.545,7.105,4.615,6.325,5.785,7.39,7.405,8.47,6.985,7.435,8.935
16,9.25,9.595,5.365,6.445,5.53,8.575,9.235,3.445,8.32,9.37,8.125,6.94,8.29,8.11,3.88,5.545,7.72,8.29,7.63,9.61,8.92,8.035,7.435,6.025,6.88,8.995,7.57,6.385,3.805,5.77,3.91,7.66,8.92,8.065,7.915,9.745,7.24,5.26,9.46,8.26,5.8,10.185,8.44,6.25,5.245,3.91,6.565,8.935,6.505,8.245,8.17,8.17,9.055,9.295,5.995,8.155,7.48,8.215,8.41,9.7,7.435,8.455,7.915
17,9.7,7.93,4.405,5.95,5.965,7.735,9.475,7.465,9.19,9.52,8.05,7.03,12.765,6.76,5.605,4.93,7.105,9.49,7.975,8.665,8.935,7.51,7.405,6.235,6.895,8.59,6.865,5.755,5.235,5.905,3.4,7.225,7.915,8.395,6.7,7.645,22.65,4.42,9.22,7.75,5.5,8.32,8.215,6.565,7.105,5.35,6.295,8.5,6.55,7.615,5.44,8.155,9.205,8.785,5.08,6.28,5.23,8.74,8.125,9.805,7.945,7.99,8.455
18,10,9.04,7.765,9.325,7.33,5.56,7.885,9.955,9.85,9.46,6.865,8.935,14.085,7.885,7.495,8.17,7.63,7.705,8.455,6.43,7.39,8.605,6.37,7.825,7.72,8.035,8.2,7.15,4.285,8.26,6.535,8.365,8.92,7,3.73,8.905,12.135,6.07,8.98,8.725,8.5,8.875,8.92,8.605,5.59,6.955,7.945,8.485,7.165,9.01,4.765,8.635,9.025,6.895,7.15,8.17,8.095,9.025,7.72,10,8.77,7.6,8.995
19,9.82,8.815,8.83,8.44,8.425,6.835,8.665,8.68,9.79,9.625,7.555,9.28,9.16,7.705,7.615,8.02,8.62,8.935,9.175,7.915,9.265,8.215,10.5,8.425,7.915,7.945,8.485,8.125,3.7,8.095,6.49,8.305,8.515,6.355,5.245,7.87,13.125,6.97,9.7,7.63,8.215,7.96,8.665,8.62,7.585,7.45,6.88,7.96,7.735,8.62,7.405,8.65,9.22,7.81,8.395,7.12,8.83,9.07,8.92,9.97,7.87,9.07,8.89
20,8.515,6.37,6.43,9.145,4.57,6.07,8.125,6.205,9.145,8.725,6.565,7.75,12.9,4.72,6.775,4.99,6.115,4.96,5.815,5.11,5.425,7,10.8,7.84,7.165,7.72,5.035,4.51,2.77,7.45,6.595,6.1,7.315,4.99,3.355,5.515,8.02,6.925,8.245,5.47,8.035,6.28,7.645,7.9,6.52,5.56,4.48,7.015,7.465,5.11,4.375,7.315,8.845,4.54,5.08,5.71,6.685,7.135,6.52,8.92,7.765,7.06,7.78
21,5.755,6.4,5.35,2.11,3.415,4.03,7.06,2.095,6.745,4.96,4.69,4.99,3.715,4.435,2.77,3.535,5.095,3.415,3.34,3.1,3.49,4.915,9,6.1,5.785,5.41,5.905,2.275,2.53,4.645,3.34,4.765,6.685,2.47,2.89,3.955,8.235,3.46,6.97,4.27,5.035,5.62,5.59,6.205,6.085,4.465,2.965,5.47,4.225,4.945,3.625,4.09,6.385,2.86,3.325,3.055,4.555,5.155,3.655,2.515,3.94,4.345,6.445
22,9.64,5.875,4.72,5.095,4.735,6.34,8.77,5.485,8.08,8.545,6.76,6.925,7.795,5.815,3.925,4.9,4.885,5.83,8.02,8.17,11.355,6.925,5.905,5.725,6.235,6.28,7,5.65,3.595,6.28,4,6.115,8.305,8.41,4.105,7.36,10.56,4.015,7.39,8.11,5.485,7.675,8.575,6.505,5.86,4.09,6.415,8.095,5.14,8.17,4.885,6.79,8.83,6.145,4.075,6.085,7.225,8.23,9.07,6.925,5.935,7.705,7.27
23,7.3,7.42,7.405,5.125,3.91,5.965,5.455,4.885,7.825,4.495,6.61,5.965,5.56,6.835,4.405,4.315,4.225,5.86,4.75,4.6,6.07,10.77,5.11,6.37,6.535,6.685,6.055,1.465,3.22,5.905,3.925,4.99,6.79,3.895,3.835,3.355,9.975,3.73,7.72,4.075,5.29,4.795,7.93,6.28,6.13,4.24,3.79,5.635,4.855,6.07,4.315,4.39,6.43,3.265,4.33,3.43,6.265,7.09,5.185,4.96,4.9,5.65,7.03
24,3.505,6.64,6.91,1.27,3.175,3.7,5.74,3.685,5.155,5.695,3.835,2.995,7.665,5.515,4.045,4.015,3.235,7.195,2.335,2.095,1.84,5.425,3.085,5.68,5.26,5.68,5.92,1.75,1.96,6.085,3.715,2.935,5.005,2.59,2.365,3.37,5.56,3.07,5.185,3.04,5.695,4.855,7.975,6.415,9.1,2.845,2.755,3.94,4.84,3.04,6.93,5.065,5.77,2.62,3.76,2.89,5.725,4.42,1.78,1.345,5.02,3.82,6.175
25,9.67,6.22,6.34,4.72,5.815,8.65,8.575,8.11,8.95,8.95,8.155,5.965,7.495,6.19,5.005,4.315,6.22,7.33,6.85,9.01,8.215,6.28,17.035,5.725,6.16,8.08,7.24,6.055,2.875,5.875,3.625,6.73,8.71,7.855,4.96,9.64,7.87,5.5,8.5,8.155,5.875,8.545,8.08,6.355,6.745,5.575,6.805,8.365,5.86,8.305,11.135,8.29,8.905,7.165,5.17,3.985,7.3,7.585,9.67,9.505,7.72,8.185,7.78
26,8.005,8.995,9.865,3.355,8.14,4.315,7.435,6.865,13.38,8.5,7.15,8.2,9.895,8.695,7.21,7.93,7.96,7.525,7.57,5.605,6.775,8.515,5.995,9.685,7.96,8.425,13.26,5.305,3.67,9.04,10,11.49,8.575,5.35,5.98,5.62,14.145,7.72,8.47,5.995,9.775,5.485,9.775,9.475,8.425,7.735,3.385,7.21,9.115,8.575,5.875,9.16,9.505,6.31,7.39,6.205,8.275,8.59,6.85,8.755,8.455,6.625,9.295
27,10,9.715,9.655,9.49,9.805,9.43,10,9.985,9.34,10,10,9.82,9.955,9.865,9.52,9.82,9.91,10,9.925,9.505,14.4,9.97,9.745,9.745,9.025,9.52,9.73,9.895,9.805,9.955,10,9.82,9.985,9.955,9.7,9.925,15,9.79,9.97,8.935,9.97,8.785,9.895,9.895,7.57,9.34,9.745,9.745,9.7,9.79,14.865,9.955,10,9.985,8.59,9.685,9.79,9.925,10,9.955,9.475,9.895,9.88
28,2.515,3.055,2.155,1.09,1.06,1.78,3.25,1.06,3.19,1.585,2.545,2.23,2.605,2.47,1.915,1.33,1.45,1.8,1.255,2.095,1.18,3.445,3.36,3.145,4.84,3.82,3.76,1.27,1.675,3.43,2.365,2.575,3.64,1.285,2.305,1.63,2.61,1.75,1.99,2.2,2.62,6.785,1.465,1.465,6.79,2.035,1.63,3.775,2.875,2.17,4.305,3.88,4.855,1.075,2.335,1.705,1.09,2.56,2.305,1.66,2.41,1.63,2.125
29,14.93,4.405,4.99,1.9,2.125,3.01,7.765,1.975,5.125,2.335,3.835,2.32,3.93,4.42,3.13,1.96,1.555,4.92,1.705,5.905,4.615,3.535,4.48,2.785,5.005,3.565,4.705,1.6,1.735,4.405,1.615,2.62,5.965,2.545,2.005,5.14,2.815,1.525,4.96,6.235,3.025,6.565,3.085,3.985,4.84,2.08,3.595,4.03,3.715,7.075,3.895,5.23,7.81,3.28,4.27,2.53,1.735,3.145,5.725,6.295,4.195,3.265,2.98
